Drug__r.Drug_Code__c,Diagnosis__c,Hierarchy__c
harvoni,"Genotype 1 - Liver transplant recipients, treatment-naive or treatment-experienced² with no cirrhosis or with compensated cirrhosis¹:  (with RBV) for 12 weeks.",Primary
harvoni,"Genotype 1 - Treatment-naive, mono-HCV infected, fibrosis stage < F3 and HCV RNA < 6 million IU/mL (only considered for non-cirrhotic patients): 8 weeks.",Primary
harvoni,Genotype 1 - Treatment-naive with no cirrhosis (including advanced fibrosis stage ≥ 3) or with compensated cirrhosis¹: 12 weeks.,Primary
harvoni,Genotype 1 - Treatment-naive or treatment-experienced² with decompensated cirrhosis³: (with RBV) for 12 weeks.,Primary
harvoni,Genotype 1 - Treatment-experienced² with no cirrhosis:  12 weeks.,Primary
harvoni,"Genotype 1 - HIV/HCV-1 co-infected, treatment-naive or treatment-experienced² with no cirrhosis or with compensated cirrhosis¹: 12 weeks.",Primary
Humira,Ankylosing Spondylitis,Primary
Humira,Rheumatoid Arthritis,Primary
Humira,Other,
Humira,Psoriatic Arthritis,Primary
Humira,Ulcerative Colitis,Primary
Humira,Polyarticular Juvenile Idiopathic Arthritis,Primary
Humira,Moderate to Severe Active Crohn's,Primary
Humira,Fistulizing Crohn's,Primary
Humira,Plaque Psoriasis,Primary
Humira,Hidradenitis Suppurativa,Primary
hydromorph50inj,"Relief of severe pain in patients who require subcutaneously, intravenously or intramuscularly administered opioids in doses or concentrations higher than those usually needed",Primary
hydromorph50inj,Other,
hydromorphSR,Pain management in a specified chronic pain (including cancer pain) diagnosis AND regular release dosage forms of hydromorphone,Primary
hydromorphSR,Pain management in a specified chronic pain (including cancer pain) diagnosis AND sustained release preparations of morphine,Primary
hydromorphSR,Other,
hydroxyurea,Patient has a diagnosis of pustular psoriasis ,Primary
hydroxyurea,Other,
hydroxyzine,For the treatment of anxiety,Primary
hydroxyzine,Other,
icat,Initial Request - For the treatment of acute attacks of hereditary angioedema (HAE) - type I,Primary
icat,Initial Request - For the treatment of acute attacks of hereditary angioedema (HAE) - type II,Primary
icat,Initial Request - For the treatment of acute attacks of hereditary angioedema (HAE) - other,Primary
icat,Renewal Request - Patient is limited to a single dose for self-administration per attack,Primary
incobot,For the treatment of blepharospasm,Primary
incobot,For the treatment of cervical dystonia of a predominantly rotational form (Spasmodic Torticollis),Primary
incobot,For the treatment of post-stroke spasticity of the upper limb,Primary
incobot,Other,
indapamide,Treatment failure or intolerance to a thiazide diuretic,Primary
indapamide,Other,
inflix,Moderate to Severe Active Crohn's,Primary
inflix,Fistulizing Crohns,Primary
inflix,Other,
inflix,Ulcerative Colitis,Primary
inflix,Rheumatoid Arthritis,Primary
inflix,Ankylosing Spondylitis,Primary
inflix,Psoriatic Arthritis,Primary
inflix,Plaque Psoriasis,Primary
interferonA,"Chronic Hepatitis B, non-cirrhosis",Primary
interferonA,Other,
interferonB1B,As monotherapy for the treatment of relapsing-remitting multiple sclerosis - initial,Primary
interferonB1B,As monotherapy for the treatment of relapsing-remitting multiple sclerosis - renewal,Primary
interferonB1B,As monotherapy for secondary progressive multiple sclerosis (SPMS) - switch,Primary
interferonB1B,As monotherapy for secondary progressive multiple sclerosis (SPMS) - renewal,Primary
interferonB1B,As monotherapy for secondary progressive multiple sclerosis (SPMS) - initial,Primary
interferonB1B,As monotherapy for the treatment of relapsing-remitting multiple sclerosis - switch,Primary
isavuconazole,For the treatment of Invasive Mucormycosis (IM) in adults when prescribed by infectious disease specialist and if a patient is established on isavuconazole in hospital,Primary
isavuconazole,Other,
ismn,Diagnosis of unstable angina,Primary
ismn,Experienced treatment failure on optimal dose of isosorbide dinitrate (ISDN),Primary
ismn,Other,
ismn,Experienced intolerance to isosorbide dinitrate (ISDN),Primary
itraconazole,Immunocompromised patient,Primary
itraconazole,Other,
itraconazole,Pulse treatment for severe onychomycosis with functional disability,Primary
ivabradine,Patient has stable heart failure with New York Heart Association Class II or III symptoms,Primary
ivabradine,"NYHA class II or III symptoms that have persisted despite at least four weeks of treatment at the optimum stable dose of a B-blocker, an aldosterone antagonist AND an ACEI or an ARB",Primary
ivabradine,Other,
ixekiz,Other,
ixekiz,Plaque Psoriasis,Primary
LABAflutsalm,Diagnosis of asthma AND inadequate response on optimal dose of inhaled corticosteroid.,Primary
LABAflutsalm,Other,
LABAflutvila,Other,
LABAflutvila,Diagnosis of asthma AND inadequate response on optimal dose of inhaled corticosteroid.,Primary
LABAform,Other,
LABAform,Diagnosis of asthma AND inadequate response on optimal dose of inhaled corticosteroid.,Primary
LABAformbude,Other,
LABAformbude,Diagnosis of asthma AND inadequate response on optimal dose of inhaled corticosteroid.,Primary
LABAformmom,Other,
LABAformmom,Diagnosis of asthma AND inadequate response on optimal dose of inhaled corticosteroid.,Primary
LABAsalm,Other,
LABAsalm,Diagnosis of asthma AND inadequate response on optimal dose of inhaled corticosteroid,Primary
lacolaco,Other,
lacolaco,For adjunctive therapy (to be used in combination with at least ONE other anti-epileptic drug) for partial-onset seizures,Primary
lacopera,At least four other anti-epileptic medications have been tried without success,Primary
lacopera,For adjunctive therapy (to be used in combination with at least ONE other anti-epileptic drug) for partial-onset seizures,Primary
lacopera,Other,
lactulose,Treatment of portal systemic encephalopathy,Primary
lactulose,Treatment of liver failure,Primary
lactulose,Other,
LAinsulinbasa,"Patient is currently taking NPH insulin (and/or pre-mix insulin) and has experienced or continues to experience severe, systemic or local allergic reaction to existing insulin treatment",Primary
LAinsulinbasa,Patient is currently taking NPH insulin (and/or pre-mix insulin) and has experienced unexplained nocturnal hypoglycemia at least once a month despite optimal management,Primary
LAinsulinbasa,Patient has a contraindication to NPH insulin,Primary
LAinsulinbasa,Other,
Lainsulindete,Patient has a contraindication to NPH insulin,Primary
Lainsulindete,"Patient is currently taking NPH insulin (and/or pre-mix insulin) and has experienced or continues to experience severe, systemic or local allergic reaction to existing insulin treatment",Primary
Lainsulindete,Patient is currently taking NPH insulin (and/or pre-mix insulin) and has experienced unexplained nocturnal hypoglycemia at least once a month despite optimal management,Primary
Lainsulindete,Other,
lamivudine,Chronic Hepatitis B,Primary
lamivudine,Other,
lamivudine,Other - Hepatitis B reactivation prophylaxis while on immunosuppressants,Primary
LBMdiph,For the treatment of diarrhea due to a specified chronic illness,Primary
LBMdiph,Other,
LBMlope,For the treatment of diarrhea due to a specified chronic illness,Primary
LBMlope,Other,
leflunomide,Rheumatoid Arthritis,Primary
leflunomide,Other,
leuprolide,Diagnosis of precocious puberty,Primary
leuprolide,Other,
leuprolide,Diagnosis indicating need to reduce sexual drive,Primary
leuprolide,Diagnosis of endometriosis,Primary
levetiracetam,Diagnosis of epilepsy,Primary
levetiracetam,Other,
linezolid,Treatment of vancomycin resistant enterococcus (VRE) infections,Primary
linezolid,Other,
linezolid,Treatment of methicillin-resistant staphylococcus aureus (MRSA) in patients who are unresponsvie to or intolerant of injectable vancomycin,Primary
Maintenaarip,For management of manifestations of related psychotic disorders (not dementia-related),Primary
Maintenaarip,For management of manifestations of schizophrenia,Primary
Maintenaarip,Other,
Maintenapalisust,Other,
Maintenapalisust,For management of manifestations of related psychotic disorders (not dementia-related) - are currently receiving a conventional depot antispychotic PLUS experiencing significant side effects such as extrapyramidal symptoms or tardive dyskinesia,Primary
Maintenapalisust,For management of manifestations of related psychotic disorders (not dementia-related) - with a history of non-adherence to antipsychotic medications resulting in important negative outcomes such as repeated hospitalizations,Primary
Maintenapalisust,For management of manifestations of schizophrenia,Primary
Maintenapalisust,"For management of manifestations of related psychotic disorders (not dementia-related) - have tried oral aripiprazole, risperidone, or paliperidone PLUS at least one other antipsychotic agent AND continues to be inadequately controlled",Primary
Maintenapalitrin,For management of manifestations of schizophrenia,Primary
Maintenapalitrin,"For management of manifestations of related psychotic disorders (not dementia-related) - have tried oral aripiprazole, risperidone, or paliperidone PLUS at least one other antipsychotic agent AND continues to be inadequately controlled",Primary
Maintenapalitrin,Other,
Maintenapalitrin,For management of manifestations of related psychotic disorders (not dementia-related) - with a history of non-adherence to antipsychotic medications resulting in important negative outcomes such as repeated hospitalizations,Primary
Maintenapalitrin,For management of manifestations of related psychotic disorders (not dementia-related) - are currently receiving a conventional depot antispychotic PLUS experiencing significant side effects such as extrapyramidal symptoms or tardive dyskinesia,Primary
Maintenarisp,Other,
Maintenarisp,For management of manifestations of related psychotic disorders (not dementia-related) - history of non-adherence to antipsychotic medications resulting in important negative outcomes such as repeated hospitalizations,Primary
Maintenarisp,"For management of manifestations of related psychotic disorders (not dementia-related) - have tried oral aripiprazole, risperidone, or paliperidone PLUS at least one other antipsychotic agent AND continues to be inadequately controlled",Primary
Maintenarisp,For management of manifestations of related psychotic disorders (not dementia-related) - are currently receiving a conventional depot antispychotic PLUS experiencing significant side effects such as extrapyramidal symptoms or tardive dyskinesia,Primary
Maintenarisp,For management of manifestations of schizophrenia,Primary
maviret,"Genotype 1 - Previously treated⁴ with an NS5A inhibitor-containing regimen, but NS3/4A protease inhibitor treatment-naive: 16 weeks",Primary
maviret,"Genotype 1 - Previously treated³ with an NS3/4A protease inhibitor-containing regimen, but NS5A inhibitor treatment-naive: 12 weeks.",Primary
maviret,Genotype 1 - Treatment-experienced¹ with compensated cirrhosis²: 12 weeks,Primary
maviret,Genotype 1 - Treatment-experienced¹ with no cirrhosis: for 8 weeks,Primary
maviret,Genotype 1 - Treatment-naive with no cirrhosis or with compensated cirrhosis²: for 8 weeks,Primary
maviret,Genotype 6 - Treatment-experienced¹ with compensated cirrhosis²: for 12 weeks.,Primary
maviret,kidnet transplant recipient,Primary
maviret,heart transplant recipient,Primary
maviret,Genotype 5 - Treatment-experienced¹ with compensated cirrhosis²: for 12 weeks.,Primary
maviret,genotype 6 - Treatment-naive with no cirrhosis or with compensated cirrhosis²: for 8 weeks,Primary
maviret,genotype 4 - Treatment-naive with no cirrhosis or with compensated cirrhosis²: for 8 weeks,Primary
maviret,Genotype 4 - Treatment-experienced¹ with no cirrhosis: for 8 weeks.,Primary
maviret,Genotype 4 - Treatment-experienced¹ with compensated cirrhosis²: for 12 weeks.,Primary
maviret,genotype 5 - Treatment-naive with no cirrhosis or with compensated cirrhosis²: for 8 weeks,Primary
maviret,Genotype 5 - Treatment-experienced¹ with no cirrhosis: for 8 weeks.,Primary
maviret,Genotype 6 - Treatment-experienced¹ with no cirrhosis: for 8 weeks.,Primary
maviret,genotype 2 - Treatment-naive with no cirrhosis or with compensated cirrhosis²: for 8 weeks,Primary
maviret,Genotype 2 - Treatment-experienced¹ with no cirrhosis: for 8 weeks.,Primary
maviret,Genotype 2 - Treatment-experienced¹ with compensated cirrhosis²: for 12 weeks.,Primary
maviret,Genotype 3 - Treatment-experienced¹ with compensated cirrhosis²: for 12 weeks.,Primary
maviret,Genotype 3 - Treatment-experienced¹ with no cirrhosis: for 8 weeks.,Primary
maviret,genotype 3 - Treatment-naive with no cirrhosis or with compensated cirrhosis²: for 8 weeks,Primary
meloxicam,Lupus,Primary
meloxicam,Ankylosing Spondylitis,Primary
meloxicam,Psoriatic Arthritis,Primary
meloxicam,Rheumatoid Arthritis,Primary
meloxicam,Other,
meloxicam,"Treatment failure on optimal doses of, or intolerance to, both ibuprofen and naproxen",Primary
meloxicam,Gout,Primary
mepolizumab,other,
mepolizumab,severe eosinophilic asthma,Primary
mercaptopurine,Crohn's disease,Primary
mercaptopurine,Other,
mercaptopurine,Ulcerative Colitis,Primary
mercaptopurine,Autoimmune hepatitis,Primary
mercaptopurine,Inflammatory bowel disease,Primary
methotrexatePFsyringe,Other,
methotrexatePFsyringe,"Treatment of rheumatoid arthritis, when the patient demonstrates failure on or intolerance to oral methotrexate",Primary
methotrexateVial,"Treatment of rheumatoid arthritis, when the patient demonstrates failure on or intolerance to oral methotrexate",Primary
methotrexateVial,Other,
miniMed,Other form of diabetes (please specify):,Primary
miniMed,Type 1 diabetes,Primary
mmf,Autoimmune hepatitis,Primary
mmf,Bullous pemphigold,Primary
mmf,Other,
modafinil,Other,
modafinil,Treatment of narcolepsy,Primary
mometNS,Other,
mometNS,Diagnosis of allergic rhinitis in child 3-11 years old,Primary
nabumetone,Lupus,Primary
nabumetone,Psoriatic Arthritis,Primary
nabumetone,Ankylosing Spondylitis,Primary
nabumetone,Gout,Primary
nabumetone,"Treatment failure on optimal doses of or intolerance to , ALL of the following: ibuprofen, naproxen (regular release), diclofenac, AND either celecoxib or meloxicam",Primary
nabumetone,Rheumatoid Arthritis,Primary
nabumetone,Other,
nadroparin,Treatment of venous thromboembolism,Primary
nadroparin,Prophylaxis of venous thromboembolism,Primary
nadroparin,Other,
naproEC,Psoriatic Arthritis,Primary
naproEC,Ankylosing Spondylitis,Primary
naproEC,Rheumatoid Arthritis,Primary
naproEC,Other,
naproEC,"Treatment failure on optimal dose, or intolerance to, at least one of enteric-coated ASA, ibuprofen, or naproxen",Primary
naproEC,Lupus,Primary
naproEC,Gout,Primary
natalizumab,As second-line monotherapy for the treatment of relapsing-remitting multiple sclerosis,Primary
natalizumab,other,
nebulesbude,Person who has difficulty in generating adequate inspiratory effort that he/she is unable to achieve therapeutic benefit from an inhaler with an aerochamber.,Primary
nebulesbude,Resident of a long-term facility PLUS regularly requires the administration of three or more inhaled medications at least three times daily,Primary
nebulesbude,Person who has cognitive impairment PLUS has had an unsuccessful trial in the use of an inhaler attached to an aerochamber with a mouthpiece,Primary
nebulesbude,Person who is living independently PLUS either suffers from severe upper extremity disability or lacks fine motor coordination,Primary
nebulesbude,Other,
nebulescrom,Person who is living independently PLUS either suffers from severe upper extremity disability or lacks fine motor coordination to a degree that precludes effective inhaler techniques even when aided by inhaler-assistance devices,Primary
nebulescrom,Person who has cognitive impairment PLUS has had an unsuccessful trial in the use of an inhaler attached to an aerochamber with a mouthpiece,Primary
nebulescrom,Resident of a long-term facility PLUS regularly requires the administration of three or more inhaled medications at least three times daily,Primary
nebulescrom,Other,
nebulescrom,Person who has difficulty in generating adequate inspiratory effort that he/she is unable to achieve therapeutic benefit from an inhaler with an aerochamber.,Primary
nebulesipra,Other,
nebulesipra,Resident of a long-term facility PLUS regularly requires the administration of three or more inhaled medications at least three times daily,Primary
nebulesipra,Person who has difficulty in generating adequate inspiratory effort that he/she is unable to achieve therapeutic benefit from an inhaler with an aerochamber,Primary
nebulesipra,Person who is living independently PLUS either suffers from severe upper extremity disability or lacks fine motor coordination to a degree that precludes effective inhaler techniques even when aided by inhaler-assistance devices,Primary
nebulesipra,Person who has cognitive impairment PLUS has had an unsuccessful trial in the use of an inhaler attached to an aerochamber with a mouthpiece,Primary
nebulesiprasalb,Person who is living independently PLUS either suffers from severe upper extremity disability or lacks fine motor coordination to a degree that precludes effective inhaler techniques even when aided by inhaler-assistance devices,Primary
nebulesiprasalb,Resident of a long-term facility PLUS regularly requires the administration of three or more inhaled medications at least three times daily,Primary
nebulesiprasalb,Person who has difficulty in generating adequate inspiratory effort that he/she is unable to achieve therapeutic benefit from an inhaler with an aerochamber,Primary
nebulesiprasalb,Other,
nebulesiprasalb,Person who has cognitive impairment PLUS has had an unsuccessful trial in the use of an inhaler attached to an aerochamber with a mouthpiece,Primary
nebulessalb,Other,
nebulessalb,Person who has cognitive impairment PLUS has had an unsuccessful trial in the use of an inhaler attached to an aerochamber with a mouthpiece,Primary
nebulessalb,Person who has difficulty in generating adequate inspiratory effort that he/she is unable to achieve therapeutic benefit from an inhaler with an aerochamber.,Primary
nebulessalb,Resident of a long-term facility PLUS regularly requires the administration of three or more inhaled medications at least three times daily,Primary
nebulessalb,Person who is living independently PLUS either suffers from severe upper extremity disability or lacks fine motor coordination to a degree that precludes effective inhaler techniques even when aided by inhaler-assistance devices,Primary
netupitant,For the prevention of acute and delayed nausea and vomiting due to highly-emetogenic cancer chemotherapy in combination with dexamethasone,Primary
netupitant,Other,
nintedanib,Initial - For the treatment of adult patients who have a diagnosis of mild to moderate idiopathic pulmonary fibrosis (IPF),Primary
nintedanib,First renewal - idiopathic pulmonary fibrosis (IPF),Primary
nintedanib,Other,
nintedanib,Second and subsequent renewal - idiopathic pulmonary fibrosis (IPF),Primary
nitisinone,hereditary tyrosinemia type 1 (HT-1) - for patients identified through newborn screening,Primary
nitisinone,hereditary tyrosinemia type 1 (HT-1) - for patients identified through prenatal genetic testing,Primary
NSAIDdiflu,Ankylosing Spondylitis,Primary
NSAIDdiflu,Gout,Primary
NSAIDdiflu,Rheumatoid Arthritis,Primary
NSAIDdiflu,Lupus,Primary
NSAIDdiflu,Other,
NSAIDdiflu,Psoriatic Arthritis,Primary
NSAIDflur,Psoriatic Arthritis,Primary
NSAIDflur,Ankylosing Spondylitis,Primary
NSAIDflur,Diagnosis of gout,Primary
NSAIDflur,Other,
NSAIDflur,"Treatment failure on optimal doses of or intolerance to , ALL of the following: ibuprofen, naproxen (regular release), diclofenac, AND either celecoxib or meloxicam",Primary
NSAIDflur,Lupus,Primary
NSAIDflur,Rheumatoid Arthritis,Primary
NSAIDindo,Psoriatic Arthritis,Primary
NSAIDindo,Ankylosing Spondylitis,Primary
NSAIDindo,Gout,Primary
NSAIDindo,Lupus,Primary
NSAIDindo,"Treatment failure on optimal doses of or intolerance to , ALL of the following: ibuprofen, naproxen (regular release), diclofenac, AND either celecoxib or meloxicam",Primary
NSAIDindo,Other,
NSAIDindo,Rheumatoid Arthritis,Primary
NSAIDketo,Other,
NSAIDketo,"Treatment failure on optimal doses of or intolerance to , ALL of the following: ibuprofen, naproxen (regular release), diclofenac, AND either celecoxib or meloxicam",Primary
NSAIDketo,Lupus,Primary
NSAIDketo,Gout,Primary
NSAIDketo,Ankylosing Spondylitis,Primary
NSAIDketo,Psoriatic Arthritis,Primary
NSAIDketo,Rheumatoid Arthritis,Primary
NSAIDketoSR,Rheumatoid Arthritis,Primary
NSAIDketoSR,Psoriatic Arthritis,Primary
NSAIDketoSR,Ankylosing Spondylitis,Primary
NSAIDketoSR,Gout,Primary
NSAIDketoSR,Lupus,Primary
NSAIDketoSR,"Treatment failure on optimal dose, or intolerance to, at least one of enteric-coated ASA, ibuprofen, or naproxen",Primary
NSAIDketoSR,Other,
OBE,For treatment of adult patient with confirmed diagnosis of primary billary cholangitis (PBC) - liver biopsy results consistent with PBC,Primary
OBE,Obeticholic acid will be used as monotherapy in patient,Primary
OBE,Obeticolic acid will be used in combination with ursodeoxycholic acid (UDCA),Primary
OBE,For treatment of adult patient with confirmed diagnosis of primary billary cholangitis (PBC) - positive antimitochondrial antibodies,Primary
OBE,Other,
ocrelizumab,Other,
ocrelizumab,As treatment for Early Primary Progressive Multiple Sclerosis (PPMS),Primary
ofloxacin,Other,
ofloxacin,Failure or intolerance to first-line agents (e.g. aminoglycosides),Primary
olan,"Diagnosis of Bipolar I disorder AND treatment failure or intolerance to lithium, carbamazepine or divalproex sodium AND treatment failure or intolerance to at least one other specified anti-psychotic agent",Primary
olan,Diagnosis of Schizophrenia AND treatment failure or intolerance to at least one other specified anti-psychotic agent,Primary
olan,Other,
olan,Diagnosis of other psychosis (not dementia related) AND treatment failure or intolerance to at least one other specified anti-psychotic agent,Primary
omnipod,Other form of diabetes (please specify):,Primary
omnipod,Type 1 diabetes,Primary
onabot,"Treatment of urinary incontinence due to neurogenic detrusor overactivity (NDO) associated with multiple sclerosis or subcervical spinal cord injury,",Primary
onabot,Treatment of equinus foot deformity due to spasticity in pediatric Cerebral Palsy patients 2 years of age or older.,Primary
onabot,Treatment of strabismus,Primary
onabot,Treatment of overactive bladder (OAB) in adult patients,Primary
onabot,Other,
onabot,Treatment of blepharospasm.,Primary
onabot,Treatment of spasmodic torticollis,Primary
onabot,"Treatment of focal spasticity, including the treatment of upper limb spasticity associated with stroke in adults.",Primary
otherInsulinPumpNotApproved,Other form of diabetes (please specify):,Primary
otherInsulinPumpNotApproved,Type 1 diabetes,Primary
Pagetsalen,Diagnosis of Paget's disease,Primary
Pagetsalen,Other,
Pagetsrise,other,
Pagetsrise,diagnosis of Paget's disease,Primary
PAH1,For the treatment of World Health Organization (WHO) / New York Heart Association (NYHA) functional class III pulmonary arterial hypertension (PAH),Primary
PAH1,Other,
PAH2,"As monotherapy, for the treatment of World Health Organization (WHO) / New York Heart Association (NYHA) functional class III pulmonary arterial hypertension (PAH)",Primary
PAH2,"As monotherapy, for the treatment of World Health Organization (WHO) / New York Heart Association (NYHA) functional class IV pulmonary arterial hypertension (PAH)",Primary
PAH4,For the treatment of functional class IV pulmonary arterial hypertension (PAH) - inadequate response to the non-prostanoid therapies,Primary
PAH4,For the treatment of functional class IV pulmonary arterial hypertension (PAH) - contraindication to the non-prostanoid therapies,Primary
PAH4,Other,
PAH5,PAH associated with connective tissue disorders,Primary
PAH5,PAH associated with congenital heart disease,Primary
PAH5,Adult patient with World Health Organization / New York Heart Association functional class III PAH whose symptoms are inadequately controlled with a phosphodiesterase-type 5 inhibitor and endothelin receptor antagonist:,Primary
PAH5,Other,
PAH5,Heritable PAH,Primary
PAH5,Idiopathic pulmonary arterial hypertension (PAH),Primary
pamidronate,Diagnosis indicating bone metastases associated with cancer (except breast cancer),Primary
pamidronate,Other,
pentazocine,Patient has experienced treatment failure or intolerance to at least two identified opioids,Primary
pentazocine,Other,
pentazocine,For pain management in a specified pain diagnosis,Primary
pimecro,Diagnosis of eczema - intolerant to topical corticosteroid treatment,Primary
pimecro,Diagnosis of eczema - refractory to three months of potent topical corticosteroid therapy,Primary
pimecro,Other,
pirfenidone,Initial - For the treatment of adult patients who have a diagnosis of mild to moderate idiopathic pulmonary fibrosis (IPF),Primary
pirfenidone,First renewal - idiopathic pulmonary fibrosis (IPF),Primary
pirfenidone,Second and subsequent renewal - idiopathic pulmonary fibrosis (IPF),Primary
pirfenidone,Other,
piroxicam,Psoriatic Arthritis,Primary
piroxicam,Rheumatoid Arthritis,Primary
piroxicam,Lupus,Primary
piroxicam,Ankylosing Spondylitis,Primary
piroxicam,"Treatment failure on optimal doses of or intolerance to , ALL of the following: ibuprofen, naproxen (regular release), diclofenac, AND either celecoxib or meloxicam",Primary
piroxicam,Other,
piroxicam,Gout,Primary
prami,For the treatment of idiopathic Parkinson's disease - other,Primary
prami,Other,
prami,For the treatment of idiopathic Parkinson's disease - receiving treatment with levodopa and requires additional adjunctive therapy,Primary
prami,For the treatment of idiopathic Parkinson's disease - cannot tolerate or has contraindications to levodopa,Primary
propranolol,initial - proliferating infantilei hemangioma requiring systemic therapy,Primary
propranolol,renewal - proliferating infantilei hemangioma requiring systemic therapy,Primary
prostaglandin,Other,
prostaglandin,Erectile dysfunction that occurs as a result of vascular or neurological damage that precludes adequate filling of the sinusoidal spaces,Primary
ralox,Other,
ralox,"Clinical or radiographically-documented fracture due to osteoporosis - unsatisfactory clinical response, defined as a new fragility fracture after 1 year adherence to alendronate or alendronate plus cholecalciferol or risedronate therapy",Primary
ralox,"Clinical or radiographically-documented fracture due to osteoporosis - intolerable side effects to a minimum 1 month trial of oral bisphosphonates, alendronate or risedronate",Primary
Rebif,As monotherapy for the treatment of relapsing-remitting multiple sclerosis - renewal,Primary
Rebif,As monotherapy for the treatment of relapsing-remitting multiple sclerosis - switch,Primary
Rebif,As monotherapy for the treatment of relapsing-remitting multiple sclerosis - initial,Primary
rifaximin,Reducing the risk of overt hepatic encephalopathy (HE) recurrence - unable to achieve adequate control despite taking the maximum tolerated dose of lactulose,Primary
rifaximin,Reducing the risk of overt hepatic encephalopathy (HE) recurrence - hospitalized with HE associated with cirrhosis of the live,Primary
rifaximin,Other,
risan,Other,
risan,Plaque Psoriasis,Primary
ritux,Rheumatoid Arthritis,Primary
ritux,Multiple Sclerosis,Primary
ritux,Other,
ritux,Granulomatosis with Polyangiitis (GPA) or Microscopic Polyangiitis (MPA),Primary
ropinirole,For the treatment of idiopathic Parkinson's disease - receiving treatment with levodopa and requires additional adjunctive therapy,Primary
ropinirole,For the treatment of idiopathic Parkinson's disease - cannot tolerate or has contraindications to levodopa,Primary
ropinirole,For the treatment of idiopathic Parkinson's disease - other,Primary
ropinirole,Other,
rotig,"For the treatment of advanced stage Parkinson’s disease, when the patient is receiving treatment with levodopa AND requires additional adjunctive therapy",Primary
rotig,Other,
rufinamide,For the treatment of Lennox-Gastaut syndrome (LGS),Primary
rufinamide,Other,
sarilumab,Rheumatoid Arthritis,Primary
sarilumab,Other,
secukinumab,Plaque Psoriasis,Primary
secukinumab,Other,
secukinumab,Psoriatic Arthritis,Primary
secukinumab,Ankylosing Spondylitis,Primary
semaglutide,Other,
semaglutide,Type 2 diabetes - trial of one agent,Primary
semaglutide,Type 2 diabetes - Dual therapy of metformin and an insulin,Primary
semaglutide,Type 2 diabetes - Dual therapy of metformin and a sulfonylurea,Primary
SGLT2,Type 2 diabetes - Dual therapy of metformin and a sulfonylurea,Primary
SGLT2,Type 2 diabetes - Dual therapy of metformin and an insulin,Primary
SGLT2,Type 2 diabetes - trial of one agent,Primary
SGLT2,Other,
sildenafil,As monotherapy for the treatment of World Health Organization (WHO) / New York Heart Association (NYHA) functional class IV pulmonary arterial hypertension (PAH),Primary
sildenafil,Other,
sildenafil,As monotherapy for the treatment of World Health Organization (WHO) / New York Heart Association (NYHA) functional class III pulmonary arterial hypertension (PAH),Primary
solifen,Who have developed SEVERE intolerance to immediate-release oxybutynin requiring discontinuation of oxybutynin,Primary
solifen,Overactive Bladder Syndrome,Primary
somatropin,For chronic renal insufficiency,Primary
somatropin,For true growth hormone deficiency ,Primary
somatropin,Other,
sovaldi,genotype 3 - Treatment-naive or treatment-experienced¹ with no cirrhosis or with compensated cirrhosis²: (with RBV) for 24 weeks.,Primary
sovaldi,genotype 2 - Treatment-naive or treatment-experienced¹ with no cirrhosis or with compensated cirrhosis²: (with RBV) for 12 weeks.,Primary
statinsfluv,Other,
statinsfluv,Results of trial to rosuvastatin - Other,Primary
statinsfluv,Results of trial to rosuvastatin - Intolerance,Primary
statinsfluv,Results of trial to atorvastatin - Intolerance,Primary
statinsfluv,Results of trial to atorvastatin - Treatment failure,Primary
statinsfluv,Results of trial to atorvastatin - Other,Primary
statinsfluv,Results of trial to rosuvastatin - Treatment failure,Primary
statinslova,"Treatment failure on optimal doses of, OR specified intolerance to BOTH reference drugs: atorvastatin AND rosuvastatin",Primary
statinslova,Other,
statinsprav,"Treatment failure on optimal doses of, OR specified intolerance to BOTH reference drugs: atorvastatin AND rosuvastatin",Primary
statinsprav,Other,
statinssimv,Results of trial to rosuvastatin - Other,Primary
statinssimv,Other,
statinssimv,Results of trial to rosuvastatin - Treatment failure,Primary
statinssimv,Results of trial to atorvastatin - Other,Primary
statinssimv,Results of trial to atorvastatin - Treatment failure,Primary
statinssimv,Results of trial to rosuvastatin - Intolerance,Primary
statinssimv,Results of trial to atorvastatin - Intolerance,Primary
stiripen,Diagnosis of severe myoclonic epilepsy in infancy (Dravet syndrome),Primary
stiripen,Other,
sulindac,Rheumatoid Arthritis,Primary
sulindac,"Treatment failure on optimal doses of or intolerance to , ALL of the following: ibuprofen, naproxen (regular release), diclofenac, AND either celecoxib or meloxicam",Primary
sulindac,Psoriatic Arthritis,Primary
sulindac,Ankylosing Spondylitis,Primary
sulindac,Other,
sulindac,Lupus,Primary
sulindac,Gout,Primary
sumatrip,Oral absorption is not practical.,Primary
sumatrip,Other,
sumatrip,Nausea and vomiting prevents swallowing oral preparations,Primary
tacrotopical,Diagnosis of eczema - is intolerant to topical corticosteroid treatment,Primary
tacrotopical,Diagnosis of eczema - is refractory to three months of potent topical corticosteroid therapy,Primary
tacrotopical,Other,
tadalafil,Other,
tadalafil,As monotherapy for the treatment of World Health Organization (WHO) / New York Heart Association (NYHA) functional class IV pulmonary arterial hypertension (PAH),Primary
tadalafil,As monotherapy for the treatment of World Health Organization (WHO) / New York Heart Association (NYHA) functional class III pulmonary arterial hypertension (PAH),Primary
tenofovir,Other - Hepatitis B reactivation prophylaxis while on immunosuppressant(s),Primary
