"Step__r.External_ID__c","Object_Name__c","Field_Name__c","Operator__c","Order__c","Question_ID__c","String_Value__c","Boolean_Value__c"
"antiemeticonda_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"antifungalciclo_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"antifungalciclo_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"antifungalclio_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"antifungalclio_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"antifungalclot_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"antifungalclot_50_Assign_to_Urgent_if_Phone","Case","Origin","contains","1.0","","Phone","false"
"antifungalketo_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"antifungalketo_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"antifungalmico_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"antifungalmico_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"apomorphine_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"apomorphine_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"aprepitant_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"aprepitant_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"ARBcand_100_Approve_Case","Request_Detail__c","String_Value__c","not equal to","1.0","manual.diagnosis","Other","false"
"ARBcand_100_Approve_Case","Request_Detail__c","String_Value__c","not equal to","2.0","arb1stLineReference.criteriaWell.IndicationForRequestedMedicationReferenceAngiotensionReceptorBlockerArbFullCoverage","Other","false"
"ARBcand_100_Approve_Case","Request_Detail__c","String_Value__c","not equal to","3.0","manual.diagnosis","None","false"
"ARBcand_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"ARBcand_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"ARBcand_52_Candesartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","11.0","arb1stLineReference.criteriaWell.additionalComments2","GVHD","false"
"ARBcand_52_Candesartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","24.0","arb1stLineReference.criteriaWell.rationaleForExceptionalCoverage","transplant","false"
"ARBcand_52_Candesartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","1.0","arb1stLineReference.criteriaWell.additionalComments2","urgent","false"
"ARBcand_52_Candesartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","2.0","arb1stLineReference.criteriaWell.additionalComments2","rush","false"
"ARBcand_52_Candesartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","3.0","arb1stLineReference.criteriaWell.additionalComments2","asap","false"
"ARBcand_52_Candesartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","4.0","arb1stLineReference.criteriaWell.additionalComments2","discharge","false"
"ARBcand_52_Candesartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","5.0","arb1stLineReference.criteriaWell.additionalComments2","cancer","false"
"ARBcand_52_Candesartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","6.0","arb1stLineReference.criteriaWell.additionalComments2","use disorder","false"
"ARBcand_52_Candesartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","7.0","arb1stLineReference.criteriaWell.additionalComments2","addiction","false"
"ARBcand_52_Candesartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","8.0","arb1stLineReference.criteriaWell.additionalComments2","pregnan","false"
"ARBcand_52_Candesartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","9.0","arb1stLineReference.criteriaWell.additionalComments2","palliative","false"
"ARBcand_52_Candesartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","10.0","arb1stLineReference.criteriaWell.additionalComments2","bleed","false"
"ARBcand_52_Candesartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","12.0","arb1stLineReference.criteriaWell.additionalComments2","transplant","false"
"ARBcand_52_Candesartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","13.0","arb1stLineReference.criteriaWell.rationaleForExceptionalCoverage","urgent","false"
"ARBcand_52_Candesartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","14.0","arb1stLineReference.criteriaWell.rationaleForExceptionalCoverage","rush","false"
"ARBcand_52_Candesartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","15.0","arb1stLineReference.criteriaWell.rationaleForExceptionalCoverage","asap","false"
"ARBcand_52_Candesartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","16.0","arb1stLineReference.criteriaWell.rationaleForExceptionalCoverage","discharge","false"
"ARBcand_52_Candesartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","17.0","arb1stLineReference.criteriaWell.rationaleForExceptionalCoverage","cancer","false"
"ARBcand_52_Candesartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","18.0","arb1stLineReference.criteriaWell.rationaleForExceptionalCoverage","use disorder","false"
"ARBcand_52_Candesartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","19.0","arb1stLineReference.criteriaWell.rationaleForExceptionalCoverage","addiction","false"
"ARBcand_52_Candesartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","20.0","arb1stLineReference.criteriaWell.rationaleForExceptionalCoverage","pregnan","false"
"ARBcand_52_Candesartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","23.0","arb1stLineReference.criteriaWell.rationaleForExceptionalCoverage","GVHD","false"
"ARBcand_52_Candesartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","21.0","arb1stLineReference.criteriaWell.rationaleForExceptionalCoverage","palliative","false"
"ARBcand_52_Candesartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","22.0","arb1stLineReference.criteriaWell.rationaleForExceptionalCoverage","bleed","false"
"ARBepro_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"ARBepro_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"ARBirbe_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"ARBirbe_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"ARBlosa_100_Approve_Case","Request_Detail__c","String_Value__c","not equal to","2.0","manual.diagnosis","Other","false"
"ARBlosa_100_Approve_Case","Request_Detail__c","String_Value__c","not equal to","3.0","manual.diagnosis","None","false"
"ARBlosa_100_Approve_Case","Request_Detail__c","String_Value__c","not equal to","1.0","arb1stLineReference.criteriaWell.IndicationForRequestedMedicationReferenceAngiotensionReceptorBlockerArbFullCoverage","Other","false"
"ARBlosa_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"ARBlosa_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"ARBolme_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"ARBolme_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"ARBtelm_100_Approve_Case","Request_Detail__c","String_Value__c","not equal to","3.0","manual.diagnosis","None","false"
"ARBtelm_100_Approve_Case","Request_Detail__c","String_Value__c","not equal to","1.0","arb1stLineReference.criteriaWell.IndicationForRequestedMedicationReferenceAngiotensionReceptorBlockerArbFullCoverage","Other","false"
"ARBtelm_100_Approve_Case","Request_Detail__c","String_Value__c","not equal to","2.0","manual.diagnosis","Other","false"
"ARBtelm_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"ARBtelm_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"ARBvals_100_Approve_Case","Request_Detail__c","String_value__c","not equal to","1.0","arb1stLineReference.criteriaWell.IndicationForRequestedMedicationReferenceAngiotensionReceptorBlockerArbFullCoverage","Other","false"
"ARBvals_100_Approve_Case","Request_Detail__c","String_Value__c","not equal to","3.0","manual.diagnosis","None","false"
"ARBvals_100_Approve_Case","Request_Detail__c","String_Value__c","not equal to","2.0","manual.diagnosis","Other","false"
"ARBvals_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"ARBvals_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"ARBvals_52_Valsartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","24.0","arb1stLineReference.criteriaWell.rationaleForExceptionalCoverage","transplant","false"
"ARBvals_52_Valsartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","2.0","arb1stLineReference.criteriaWell.additionalComments2","rush","false"
"ARBvals_52_Valsartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","1.0","arb1stLineReference.criteriaWell.additionalComments2","urgent","false"
"ARBvals_52_Valsartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","12.0","arb1stLineReference.criteriaWell.additionalComments2","transplant","false"
"ARBvals_52_Valsartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","13.0","arb1stLineReference.criteriaWell.rationaleForExceptionalCoverage","urgent","false"
"ARBvals_52_Valsartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","14.0","arb1stLineReference.criteriaWell.rationaleForExceptionalCoverage","rush","false"
"ARBvals_52_Valsartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","15.0","arb1stLineReference.criteriaWell.rationaleForExceptionalCoverage","asap","false"
"ARBvals_52_Valsartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","16.0","arb1stLineReference.criteriaWell.rationaleForExceptionalCoverage","discharge","false"
"ARBvals_52_Valsartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","17.0","arb1stLineReference.criteriaWell.rationaleForExceptionalCoverage","cancer","false"
"ARBvals_52_Valsartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","18.0","arb1stLineReference.criteriaWell.rationaleForExceptionalCoverage","use disorder","false"
"ARBvals_52_Valsartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","19.0","arb1stLineReference.criteriaWell.rationaleForExceptionalCoverage","addiction","false"
"ARBvals_52_Valsartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","20.0","arb1stLineReference.criteriaWell.rationaleForExceptionalCoverage","pregnan","false"
"ARBvals_52_Valsartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","21.0","arb1stLineReference.criteriaWell.rationaleForExceptionalCoverage","palliative","false"
"ARBvals_52_Valsartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","22.0","arb1stLineReference.criteriaWell.rationaleForExceptionalCoverage","bleed","false"
"ARBvals_52_Valsartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","23.0","arb1stLineReference.criteriaWell.rationaleForExceptionalCoverage","GVHD","false"
"ARBvals_52_Valsartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","10.0","arb1stLineReference.criteriaWell.additionalComments2","bleed","false"
"ARBvals_52_Valsartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","9.0","arb1stLineReference.criteriaWell.additionalComments2","palliative","false"
"ARBvals_52_Valsartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","8.0","arb1stLineReference.criteriaWell.additionalComments2","pregnan","false"
"ARBvals_52_Valsartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","7.0","arb1stLineReference.criteriaWell.additionalComments2","addiction","false"
"ARBvals_52_Valsartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","6.0","arb1stLineReference.criteriaWell.additionalComments2","use disorder","false"
"ARBvals_52_Valsartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","5.0","arb1stLineReference.criteriaWell.additionalComments2","cancer","false"
"ARBvals_52_Valsartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","4.0","arb1stLineReference.criteriaWell.additionalComments2","discharge","false"
"ARBvals_52_Valsartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","3.0","arb1stLineReference.criteriaWell.additionalComments2","asap","false"
"ARBvals_52_Valsartan_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","11.0","arb1stLineReference.criteriaWell.additionalComments2","GVHD","false"
"aripip_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"aripip_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"asenapine_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"asenapine_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"atovaquone_1_Payload_if_approved","Case","Status","equals","1.0","","Approved","false"
"auranofin_200_Pharmanet Payload if Approved","Case","Status","equals","1.0","","Approved","false"
"Avonex_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"Avonex_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"azet_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"azet_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"baclofen_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"baclofen_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"benralizumab_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"benralizumab_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"benzydamine_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"benzydamine_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"bevacizumab_1_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"bimekizumab_100_PP_Initial_payload","Case","Status","equals","1.0","","Approved","false"
"bimekizumab_100_PP_Initial_payload","Request_Detail__c","string_value__c","equals","3.0","bimekizumab.criteriaWell1.ppInitialRenewal","initialorswitch","false"
"bimekizumab_100_PP_Initial_payload","Request_Detail__c","string_value__c","equals","2.0","manual.diagnosis.secondary","Initial","false"
"bimekizumab_110_PP_Renewal_payload","Case","Status","equals","1.0","","Approved","false"
"bimekizumab_110_PP_Renewal_payload","Request_Detail__c","string_value__c","equals","3.0","bimekizumab.criteriaWell1.ppInitialRenewal","renewal","false"
"bimekizumab_110_PP_Renewal_payload","Request_Detail__c","string_value__c","equals","2.0","manual.diagnosis.secondary","Renewal","false"
"bimekizumab_110_PP_Renewal_payload","Request_Detail__c","string_value__c","equals","4.0","bimekizumab.criteriaWell1.ppInitialRenewal","restart","false"
"biphentin_200_Pharmanet Payload if Approved","Case","Status","equals","1.0","","Approved","false"
"BPHDUTA_150_AA_BPH","Request_Detail__c","string_value__c","contains","1.0","manual.diagnosis","benign prostatic hyperplasia","false"
"BPHDUTA_150_AA_BPH","Request_Detail__c","string_value__c","contains","4.0","bphDutasterideFinasteride1.criteriaWell.treatmentFailureOrIntoleranceToAlphaBlockingAgents","doxazosin","false"
"BPHDUTA_150_AA_BPH","Request_Detail__c","string_value__c","contains","3.0","bphDutasterideFinasteride1.criteriaWell.treatmentFailureOrIntoleranceToAlphaBlockingAgents","cardura","false"
"BPHDUTA_150_AA_BPH","Request_Detail__c","string_value__c","contains","9.0","bphDutasterideFinasteride1.criteriaWell.treatmentFailureOrIntoleranceToAlphaBlockingAgents","tamsulosin","false"
"BPHDUTA_150_AA_BPH","Request_Detail__c","string_value__c","contains","8.0","bphDutasterideFinasteride1.criteriaWell.treatmentFailureOrIntoleranceToAlphaBlockingAgents","prazosin","false"
"BPHDUTA_150_AA_BPH","Request_Detail__c","string_value__c","contains","10.0","bphDutasterideFinasteride1.criteriaWell.treatmentFailureOrIntoleranceToAlphaBlockingAgents","terazosin","false"
"BPHDUTA_150_AA_BPH","Request_Detail__c","string_value__c","contains","11.0","bphDutasterideFinasteride1.criteriaWell.treatmentFailureOrIntoleranceToAlphaBlockingAgents","xatral","false"
"BPHDUTA_150_AA_BPH","Request_Detail__c","string_value__c","contains","12.0","bphDutasterideFinasteride1.criteriaWell.treatmentFailureOrIntoleranceToAlphaBlockingAgents","alpha block","false"
"BPHDUTA_150_AA_BPH","Request_Detail__c","string_value__c","contains","7.0","bphDutasterideFinasteride1.criteriaWell.treatmentFailureOrIntoleranceToAlphaBlockingAgents","minipress","false"
"BPHDUTA_150_AA_BPH","Request_Detail__c","string_value__c","contains","6.0","bphDutasterideFinasteride1.criteriaWell.treatmentFailureOrIntoleranceToAlphaBlockingAgents","hytrin","false"
"BPHDUTA_150_AA_BPH","Request_Detail__c","string_value__c","contains","2.0","bphDutasterideFinasteride1.criteriaWell.treatmentFailureOrIntoleranceToAlphaBlockingAgents","alfuzosin","false"
"BPHDUTA_150_AA_BPH","Request_Detail__c","string_value__c","contains","5.0","bphDutasterideFinasteride1.criteriaWell.treatmentFailureOrIntoleranceToAlphaBlockingAgents","flomax","false"
"BPHDUTA_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"BPHDUTA_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"BPHFINA_150_AA_BPH","Request_Detail__c","string_value__c","contains","10.0","bphDutasterideFinasteride1.criteriaWell.treatmentFailureOrIntoleranceToAlphaBlockingAgents","terazosin","false"
"BPHFINA_150_AA_BPH","Request_Detail__c","string_value__c","contains","11.0","bphDutasterideFinasteride1.criteriaWell.treatmentFailureOrIntoleranceToAlphaBlockingAgents","xatral","false"
"BPHFINA_150_AA_BPH","Request_Detail__c","string_value__c","contains","9.0","bphDutasterideFinasteride1.criteriaWell.treatmentFailureOrIntoleranceToAlphaBlockingAgents","tamsulosin","false"
"BPHFINA_150_AA_BPH","Request_Detail__c","string_value__c","contains","8.0","bphDutasterideFinasteride1.criteriaWell.treatmentFailureOrIntoleranceToAlphaBlockingAgents","prazosin","false"
"BPHFINA_150_AA_BPH","Request_Detail__c","string_value__c","contains","6.0","bphDutasterideFinasteride1.criteriaWell.treatmentFailureOrIntoleranceToAlphaBlockingAgents","hytrin","false"
"BPHFINA_150_AA_BPH","Request_Detail__c","string_value__c","contains","4.0","bphDutasterideFinasteride1.criteriaWell.treatmentFailureOrIntoleranceToAlphaBlockingAgents","doxazosin","false"
"BPHFINA_150_AA_BPH","Request_Detail__c","string_value__c","contains","7.0","bphDutasterideFinasteride1.criteriaWell.treatmentFailureOrIntoleranceToAlphaBlockingAgents","minipress","false"
"BPHFINA_150_AA_BPH","Request_Detail__c","string_value__c","contains","3.0","bphDutasterideFinasteride1.criteriaWell.treatmentFailureOrIntoleranceToAlphaBlockingAgents","cardura","false"
"BPHFINA_150_AA_BPH","Request_Detail__c","string_value__c","contains","2.0","bphDutasterideFinasteride1.criteriaWell.treatmentFailureOrIntoleranceToAlphaBlockingAgents","alfuzosin","false"
"BPHFINA_150_AA_BPH","Request_Detail__c","string_value__c","contains","5.0","bphDutasterideFinasteride1.criteriaWell.treatmentFailureOrIntoleranceToAlphaBlockingAgents","flomax","false"
"BPHFINA_150_AA_BPH","Request_Detail__c","string_value__c","contains","1.0","manual.diagnosis","benign prostatic hyperplasia","false"
"BPHFINA_150_AA_BPH","Request_Detail__c","string_value__c","contains","12.0","bphDutasterideFinasteride1.criteriaWell.treatmentFailureOrIntoleranceToAlphaBlockingAgents","alpha block","false"
"BPHFINA_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"BPHFINA_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"brex_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"brex_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"breztri_200_PharmaNet_Payload_If_Approved","Case","Status","equals","1.0","","Approved","false"
"breztri_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"brivaracetam_1_100","Case","status","equals","1.0","","Approved","false"
"budcaps_100_AA_Criteria","Request_Detail__c","string_value__c","not equal to","2.0","budesonideCaps1.criteriaWell1.otherOffCriteriaIndications.otherdiagnosis","superexcept","false"
"budcaps_100_AA_Criteria","Request_Detail__c","string_value__c","not equal to","4.0","manual.diagnosis","None","false"
"budcaps_100_AA_Criteria","Request_Detail__c","string_value__c","not equal to","1.0","budesonideCaps1.criteriaWell1.otherOffCriteriaIndications.otherdiagnosis","Ahep","false"
"budcaps_100_AA_Criteria","Request_Detail__c","string_value__c","not equal to","3.0","manual.diagnosis","Other","false"
"budcaps_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"budcaps_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"budenema_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"budenema_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"BupNalFilm_10_Initial_Approval","Case","Status","contains","1.0","","Approved","false"
"bupre_inj_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"bupre_inj_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"buprenorphine_naloxone_8mg2mg_LCAexcep_1_Approval","Case","Status","equals","1.0","","Approved","false"
"buprenorphine_naloxone_8mg2mg_LCAexcep_1_Approval","Request_Detail__c","string_value__c","does not contain","2.0","manual.diagnosis.secondary","renewal","false"
"buprenorphine_naloxone_8mg2mg_LCAexcep_2_Pharmanet_Payload_Renewal","Request_Detail__c","string_value__c","contains","2.0","manual.diagnosis.secondary","renewal","false"
"buprenorphine_naloxone_8mg2mg_LCAexcep_2_Pharmanet_Payload_Renewal","Case","Status","equals","1.0","","Approved","false"
"buprenorphine_patches_200_Pharmanet Payload if Approved","Case","Status","equals","1.0","","Approved","false"
"bupropiondepression_100_Approve_Case","Request_Detail__c","String_Value__c","not equal to","3.0","manual.diagnosis","None","false"
"bupropiondepression_100_Approve_Case","Request_Detail__c","String_Value__c","not equal to","1.0","bupropionDepression1.criteriaWell.IndicationForRequestedMedication","Other","false"
"bupropiondepression_100_Approve_Case","Request_Detail__c","String_Value__c","not equal to","2.0","manual.diagnosis","Other","false"
"bupropiondepression_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"bupropiondepression_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"butorphanol_200_Pharmanet Payload if Approved","Case","Status","equals","1.0","","Approved","false"
"cabergoline_200_Pharmanet Payload if Approved","Case","Status","equals","1.0","","Approved","false"
"cad_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"cad_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"candesartan4mg_200_Pharmanet Payload if Approved","Request_Detail__c","string_value__c","contains","2.0","manual.diagnosis","Exceptional","false"
"candesartan4mg_200_Pharmanet Payload if Approved","Case","Status","equals","1.0","","Approved","false"
"candesartan4mg_300_PNet_Payload_4mg_Not_Approved_8mg_Approved","Case","Status","equals","2.0","","Approved","false"
"candesartan4mg_300_PNet_Payload_4mg_Not_Approved_8mg_Approved","Request_Detail__c","string_value__c","contains","1.0","manual.diagnosis","Not Approved for 4mg tablets","false"
"carv_200_Pharmanet_Payload_if_Approved","Case","Status","equals","1.0","","Approved","false"
"carv_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone / Voicemail","false"
"carv_52_Carvedilol_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","22.0","carvedilol1.criteriaWell1.rationaleForExceptionalCoverage1","bleed","false"
"carv_52_Carvedilol_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","12.0","carvedilol1.criteriaWell1.additionalComments3","transplant","false"
"carv_52_Carvedilol_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","11.0","carvedilol1.criteriaWell1.additionalComments3","GVHD","false"
"carv_52_Carvedilol_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","10.0","carvedilol1.criteriaWell1.additionalComments3","bleed","false"
"carv_52_Carvedilol_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","4.0","carvedilol1.criteriaWell1.additionalComments3","discharge","false"
"carv_52_Carvedilol_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","3.0","carvedilol1.criteriaWell1.additionalComments3","asap","false"
"carv_52_Carvedilol_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","1.0","carvedilol1.criteriaWell1.additionalComments3","urgent","false"
"carv_52_Carvedilol_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","13.0","carvedilol1.criteriaWell1.rationaleForExceptionalCoverage1","urgent","false"
"carv_52_Carvedilol_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","14.0","carvedilol1.criteriaWell1.rationaleForExceptionalCoverage1","rush","false"
"carv_52_Carvedilol_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","15.0","carvedilol1.criteriaWell1.rationaleForExceptionalCoverage1","asap","false"
"carv_52_Carvedilol_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","16.0","carvedilol1.criteriaWell1.rationaleForExceptionalCoverage1","discharge","false"
"carv_52_Carvedilol_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","17.0","carvedilol1.criteriaWell1.rationaleForExceptionalCoverage1","cancer","false"
"carv_52_Carvedilol_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","18.0","carvedilol1.criteriaWell1.rationaleForExceptionalCoverage1","use disorder","false"
"carv_52_Carvedilol_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","9.0","carvedilol1.criteriaWell1.additionalComments3","palliative","false"
"carv_52_Carvedilol_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","8.0","carvedilol1.criteriaWell1.additionalComments3","pregnan","false"
"carv_52_Carvedilol_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","19.0","carvedilol1.criteriaWell1.rationaleForExceptionalCoverage1","addiction","false"
"carv_52_Carvedilol_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","7.0","carvedilol1.criteriaWell1.additionalComments3","addiction","false"
"carv_52_Carvedilol_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","20.0","carvedilol1.criteriaWell1.rationaleForExceptionalCoverage1","pregnan","false"
"carv_52_Carvedilol_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","21.0","carvedilol1.criteriaWell1.rationaleForExceptionalCoverage1","palliative","false"
"carv_52_Carvedilol_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","23.0","carvedilol1.criteriaWell1.rationaleForExceptionalCoverage1","GVHD","false"
"carv_52_Carvedilol_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","24.0","carvedilol1.criteriaWell1.rationaleForExceptionalCoverage1","transplant","false"
"carv_52_Carvedilol_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","6.0","carvedilol1.criteriaWell1.additionalComments3","use disorder","false"
"carv_52_Carvedilol_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","5.0","carvedilol1.criteriaWell1.additionalComments3","cancer","false"
"carv_52_Carvedilol_urgent_eForm_Words","Request_Detail__c","string_value__c","contains","2.0","carvedilol1.criteriaWell1.additionalComments3","rush","false"
"carv_70_Auto_approve_cases_that_meet_criteria","Request_Detail__c","string_value__c","contains","4.0","carvedilol1.criteriaWell1.radio","concurrent","false"
"carv_70_Auto_approve_cases_that_meet_criteria","Request_Detail__c","string_value__c","contains","1.0","manual.diagnosis","congestive heart failure","false"
