"External_ID__c","Name","Drug__r.Drug_Code__c","Order__c","Description__c","Criteria_Logic__c","Always_Run__c"
"ARBvals_100_Approve_Case","Approve Case","ARBvals","100.0","Migrated from Adjudication Criteria records to criteria-based actions.","OR(AND(2,3), 1)","false"
"ARBvals_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","ARBvals","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"ARBvals_52_Valsartan_urgent_eForm_Words","Valsartan urgent eForm Words","ARBvals","52.0","routes the case to urgent queue","OR(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24)","false"
"Maintenaarip_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","aripiprazoleINJECTION","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"Maintenaarip_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","aripiprazoleINJECTION","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"aripip_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","aripiprazoleORAL","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"aripip_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","aripiprazoleORAL","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"asenapine_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","asenapine","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"asenapine_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","asenapine","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"atovaquone_1_Payload_if_approved","Payload if approved","atovaquone","1.0","","AND(1)","false"
"auranofin_200_Pharmanet Payload if Approved","Pharmanet Payload if Approved","auranofin","200.0","Pharmanet Payload if Approved","AND(1)","false"
"Avonex_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","Avonex","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"Avonex_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","Avonex","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"azet_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","aztreonam","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"azet_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","aztreonam","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"baclofen_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","baclofen","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"baclofen_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","baclofen","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"DOACapix_150_Afib_AA","Afib AA","benefitapix","150.0","","OR(AND(1,2),AND(3,OR(4,5,6,7)))","false"
"DOACapix_270_DVT_PE_Eform_Duration","DVT/PE Eform Duration","benefitapix","270.0","","OR(1,2)","false"
"DOACapix_260_AFib_Eform_Duration","AFib Eform Duration","benefitapix","260.0","","AND(1,2)","false"
"DOACapix_250_AFib_Approval_Duration","AFib Approval Duration","benefitapix","200.0","","AND(1,2)","false"
"DOACapix_300_Other_Diagnosis","Other Diagnosis","benefitapix","300.0","","OR(1,2,3,4,5)","false"
"DOACapix_100_Approve_for_DVT_PE","Approve for DVT/PE","benefitapix","100.0","","OR(1,2)","false"
"benefitapix_10_Autofax_as_benefit","Autofax as benefit","benefitapix","10.0","","","true"
"sglt2dapaHFrEF_75_urgent_eform_words","urgent eform words","benefitdapa","75.0","","OR(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24)","false"
"sglt2dapaHFrEF_200_Eforms_AA","Eforms AA","benefitdapa","200.0","","AND(1,2,3,4,5)","false"
"sglt2dapaHFrEF_100_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","benefitdapa","300.0","","AND(1)","false"
"sglt2dapaHFrEF_300_Approval_from_Fax","Approval from Fax/Phone","benefitdapa","100.0","","OR(1,2)","false"
"leflunomide_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","benefitleflunomide","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"leflunomide_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","benefitleflunomide","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"benralizumab_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","benralizumab","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"benralizumab_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","benralizumab","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"benzydamine_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","benzydamine","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"benzydamine_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","benzydamine","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"bevacizumab_1_Payload_if_Approved","Payload if Approved","bevacizumab","1.0","","AND(1)","false"
"bimekizumab_110_PP_Renewal_payload","PP Renewal payload","bimekizumab","110.0","","AND(1,OR(2,3,4))","false"
"bimekizumab_100_PP_Initial_payload","PP Initial payload","bimekizumab","100.0","","AND(1,OR(2,3))","false"
"biphentin_200_Pharmanet Payload if Approved","Pharmanet Payload if Approved","biphentin","200.0","Pharmanet Payload if Approved","AND(1)","false"
"BPHDUTA_150_AA_BPH","AA BPH","BPHDUTA","150.0","","OR(1,2,3,4,5,6,7,8,9,10,11,12)","false"
"BPHDUTA_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","BPHDUTA","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"BPHDUTA_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","BPHDUTA","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"BPHFINA_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","BPHFINA","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"BPHFINA_150_AA_BPH","AA BPH","BPHFINA","150.0","","OR(1,2,3,4,5,6,7,8,9,10,11,12)","false"
"BPHFINA_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","BPHFINA","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"brex_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","brex","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"brex_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","brex","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"breztri_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","breztri","50.0","","AND(1)","false"
"breztri_200_PharmaNet_Payload_If_Approved","PharmaNet Payload If Approved","breztri","200.0","","AND(1)","false"
"brivaracetam_1_100","Payload if approved","brivaracetam","1.0","Payload if approved","AND(1)","false"
"budcaps_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","budcaps","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"budcaps_100_AA_Criteria","AA Criteria","budcaps","100.0","","OR(AND(1,2),AND(3,4))","false"
"budcaps_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","budcaps","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"budenema_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","budenema","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"budenema_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","budenema","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"BupNalFilm_10_Initial_Approval","Initial Approval","BupNalFilm","10.0","Initial Approval (1 Year)","AND(1)","false"
"bupre_inj_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","bupre inj","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"bupre_inj_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","bupre inj","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"buprenorphine_patches_200_Pharmanet Payload if Approved","Pharmanet Payload if Approved","buprenorphine_patches","200.0","Pharmanet Payload if Approved","AND(1)","false"
"buprenorphine_naloxone_8mg2mg_LCAexcep_1_Approval","Pharmanet Payload if Approved (Initial)","buprenorphine-naloxone_8mg2mg_LCAexcep","1.0","Approve for 1 year","AND(1,2)","false"
"buprenorphine_naloxone_8mg2mg_LCAexcep_2_Pharmanet_Payload_Renewal","Pharmanet Payload Renewal","buprenorphine-naloxone_8mg2mg_LCAexcep","2.0","Approve indefinitely","AND(1,2)","false"
"bupropiondepression_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","bupropiondepression","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"bupropiondepression_100_Approve_Case","Approve Case","bupropiondepression","100.0","Migrated from Adjudication Criteria records to criteria-based actions.","OR(AND(2,3), 1)","false"
"bupropiondepression_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","bupropiondepression","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"butorphanol_200_Pharmanet Payload if Approved","Pharmanet Payload if Approved","butorphanol","200.0","Pharmanet Payload if Approved","AND(1)","false"
"cabergoline_200_Pharmanet Payload if Approved","Pharmanet Payload if Approved","cabergoline","200.0","Pharmanet Payload if Approved","AND(1)","false"
"cad_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","cad","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"cad_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","cad","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"cad_10_Autofax_as_benefit","Autofax as benefit","cad","10.0","","","true"
"candesartan4mg_200_Pharmanet Payload if Approved","Pharmanet Payload if Approved","candesartan4mg","200.0","Pharmanet Payload if Approved","AND(1,2)","false"
"candesartan4mg_300_PNet_Payload_4mg_Not_Approved_8mg_Approved","PNet Payload - 4mg Not Approved, 8mg+ Approved","candesartan4mg","300.0","","AND(1)","false"
"carv_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","carv","80.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"carv_52_Carvedilol_urgent_eForm_Words","Carvedilol urgent eForm Words","carv","52.0","routes the case to urgent queue","OR(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24)","false"
"carv_70_Auto_approve_cases_that_meet_criteria","Auto-approve cases that meet criteria","carv","70.0","","OR(AND(1,2),AND(3,4))","false"
"carv_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","carv","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"CCBfelo_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","CCBfelo","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"CCBfelo_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","CCBfelo","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"CCBnife_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","CCBnife","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"CCBnife_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","CCBnife","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"celecox_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","celecox","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"celecox_150_AA_celecoxib","AA celecoxib","celecox","150.0","","OR(AND(1,2,3),AND(4,5))","false"
"celecox_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","celecox","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"certo_50_Assign_to_Urgent_if_Phone","off label queue assignment","certo","10.0","assigns to off label queue if dx is other.","OR(1,2)","false"
"certo_30_Renewal_Payload_1_Year","Renewal Payload 1 Year","certo","30.0","","AND(1,OR(2,3,4,5))","false"
"certo_40_RA_AS_PsA_3_Year_Payload","RA/AS/PsA 3 Year Payload","certo","40.0","","AND(1,OR(2,3,4,5))","false"
"certo_50_RA_AS_PsA_Indefinite_Payload","RA/AS/PsA Indefinite Payload","certo","50.0","","AND(1,OR(2,3,4,5))","false"
"certo_200_Pharmanet_Payload_if_Approved","Initial Payload 1 Year","certo","20.0","Migrated from Drug Template records to criteria-based actions.","AND(1,OR(2,3,4,5))","false"
"cetirizine  _200_Pharmanet Payload if Approved","Pharmanet Payload if Approved","cetirizine","200.0","Pharmanet Payload if Approved","AND(1)","false"
"cgrpatog_200_Migraine_2nd_or_Subsequent_Renewal_1_Year","Migraine 2nd or Subsequent Renewal - 1 Year","cgrpatog","200.0","","AND(1,OR(2,3))","false"
"cgrpatog_300_Other_or_None","Other or None","cgrpatog","300.0","","AND(1,OR(2,3,4))","false"
"cgrpatog_1_Initial_or_First_Renewal_6_Months_Approval","Migraine Initial Request - 6 Months","cgrpatog","100.0","","AND(1,OR(2,3,4,5))","false"
"cgrpatog_20_Second_or_Subsequent_Renewal_1_Year_Approval","Migraine First Renewal - 6 Months","cgrpatog","150.0","","AND(1,OR(2,3))","false"
"cgrpepti_150_Migraine_First_Renewal_6_Months","Migraine First Renewal - 6 Months","cgrpepti","150.0","","AND(OR(1,2),3)","false"
"cgrpepti_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","cgrpepti","50.0","","AND(1)","false"
"cgrpepti_300_Other_or_None","Other or None","cgrpepti","300.0","","AND(OR(1,2),3)","false"
"cgrpepti_100_Migraine_Initial_Request_6_Months","Migraine Initial Request - 6 Months","cgrpepti","100.0","","AND(OR(1,2,3,4),5)","false"
"cgrpepti_200_Migraine_2nd_or_Subsequent_Renewal_1_Year","Migraine 2nd or Subsequent Renewal - 1 Year","cgrpepti","200.0","","AND(OR(1,2),3)","false"
"fremanezumab_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","cgrpfrem","50.0","","AND(1)","false"
"fremanezumab_300_Other_or_None","Other or None","cgrpfrem","300.0","","AND(OR(1,2),3)","false"
"fremanezumab_150_Migraine_First_Renewal_6_Months","Migraine First Renewal - 6 Months","cgrpfrem","150.0","","AND(OR(1,2),3)","false"
"fremanezumab_100_Migraine_Initial_or_First_Renewal_6_Months","Migraine Initial Request - 6 Months","cgrpfrem","100.0","","AND(OR(1,2,3,4),5)","false"
"fremanezumab_200_Migraine_2nd_or_Subsequent_Renewal_1_Year","Migraine 2nd or Subsequent Renewal - 1 Year","cgrpfrem","200.0","","AND(OR(1,2),3)","false"
"cgrpgalc_100_Migraine_Initial_Request_6_Months","Migraine Initial Request - 6 Months","cgrpgalc","100.0","","AND(OR(1,2,3,4),5)","false"
"cgrpgalc_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","cgrpgalc","50.0","","AND(1)","false"
"cgrpgalc_300_Other_or_None","Other or None","cgrpgalc","300.0","","AND(OR(1,2),3)","false"
"cgrpgalc_200_Migraine_2nd_or_Subsequent_Renewal_1_Year","Migraine 2nd or Subsequent Renewal - 1 Year","cgrpgalc","200.0","","AND(OR(1,2),3)","false"
"cgrpgalc_150_Migraine_First_Renewal_6_Months","Migraine First Renewal - 6 Months","cgrpgalc","150.0","","AND(OR(1,2),3)","false"
"chlorambucil_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","chlorambucil","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"chlorambucil_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","chlorambucil","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"chloroquine_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","chloroquine","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"chloroquine_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","chloroquine","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"cinacalcet _200_Pharmanet Payload if Approved","Pharmanet Payload if Approved","cinacalcet","200.0","Pharmanet Payload if Approved","AND(1)","false"
"ciproophthcipr_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","ciproophthcipr","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"ciproophthcipr_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","ciproophthcipr","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"cisapride_200_Pharmanet Payload if Approved","Pharmanet Payload if Approved","cisapride","200.0","Pharmanet Payload if Approved","AND(1)","false"
"cladribine_50_PharmaNet_payload_if_approved","PharmaNet payload if approved","cladribine","50.0","","AND(1)","false"
"clobazam_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","clobazam","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"clobazam_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","clobazam","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"codeine_100_Renewal","Renewal","codeine","100.0","","OR(1,2)","false"
"codeine_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","codeine","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"codeine_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","codeine","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"codeine_150_Other_None_Diagnosis","Other/None Diagnosis","codeine","150.0","","OR(1,2,3)","false"
"codeine_75_Initial_Approval","Initial Approval","codeine","75.0","","OR(1,2,3)","false"
"compoundedMethadone10mgpermLOAT_3_Payload_for_subsequent_renewal","Payload for subsequent renewal","compoundedMethadone10mgpermLOAT","3.0","indefinite payload if stable","AND(1,2)","false"
"compoundedMethadone10mgpermLOAT_1_Payload_for_initial_requests","Payload for initial requests","compoundedMethadone10mgpermLOAT","1.0","6 month approval for initial request and other","AND(1,OR(2,3,4))","false"
"compoundedMethadone10mgpermLOAT_2_Payload_for_1st_renewal","Payload for 1st renewal","compoundedMethadone10mgpermLOAT","2.0","one year payload for 1st renewal","AND(1,2)","false"
"copaxone_200_Pharmanet Payload if Approved","Pharmanet Payload if Approved","copaxone","200.0","Pharmanet Payload if Approved","AND(1)","false"
"COPDaclid_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","COPDaclid","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"COPDaclid_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","COPDaclid","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"COPDaclidform_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","COPDaclidform","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"COPDaclidform_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","COPDaclidform","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"COPDflutsalm_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","COPDflutsalm","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"COPDflutsalm_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","COPDflutsalm","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"COPDflutumecvila_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","COPDflutumecvila","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"COPDflutumecvila_52_Trelegy_urgent_eForm_Words","Trelegy urgent eForm Words","COPDflutumecvila","52.0","routes the case to urgent queue","OR(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24)","false"
"COPDflutumecvila_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","COPDflutumecvila","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"COPDflutvila_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","COPDflutvila","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"COPDflutvila_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","COPDflutvila","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"COPDglyc_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","COPDglyc","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"COPDglyc_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","COPDglyc","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"COPDinda_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","COPDinda","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"COPDinda_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","COPDinda","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"COPDindaglyc_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","COPDindaglyc","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"COPDindaglyc_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","COPDindaglyc","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"COPDsalm_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","COPDsalm","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"COPDsalm_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","COPDsalm","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"COPDtiop_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","COPDtiop","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"COPDtiop_1_Autofax_as_Benefit","Autofax as Benefit","COPDtiop","10.0","","","true"
"COPDtiop_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","COPDtiop","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"COPDtiopolod_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","COPDtiopolod","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"COPDtiopolod_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","COPDtiopolod","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"COPDumecvila_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","COPDumecvila","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"COPDumecvila_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","COPDumecvila","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"cyclosporin_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","cyclosporin","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"cyclosporin_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","cyclosporin","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"cyclosporine_eyedrops_200_Pharmanet Payload if Approved","Pharmanet Payload if Approved","cyclosporine_eyedrops","200.0","Pharmanet Payload if Approved","AND(1)","false"
"cyproinj_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","cyproinj","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"cyproinj_200_Pharmanet_Payload_if_Approved","Meets Criteria Payload","cyproinj","60.0","","AND(1,OR(2,3,4))","false"
"cyproinj_70_Exceptional_Payload","Exceptional Payload","cyproinj","70.0","","AND(1,OR(2,3,4))","false"
"cyprooral_70_exceptional_payload","exceptional payload","cyprooral","70.0","does not default to D/S exempt","AND(1,OR(2,3,4))","false"
"cyprooral_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","cyprooral","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"cyprooral_200_Pharmanet_Payload_if_Approved","Meets criteria payload","cyprooral","60.0","Migrated from Drug Template records to criteria-based actions.","AND(1,OR(2,3,4))","false"
"cysteamineDrops_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","cysteamineDrops","200.0","","AND(1)","false"
"dalteparin_400_Following_Total_Hip_Replacement","Generate 28 day payload with expanded pickup window","dalteparin","35.0","","AND(1,OR(3,AND(2,4)))","false"
"dalteparin_100_Tx_of_VTE_Bridging","Generate a 10 day payload","dalteparin","10.0","","AND(1,OR(AND(2,4),AND(2,5),AND(3,4),AND(3,5),AND(4,6),AND(5,6),AND(4,7),AND(5,7),8))","false"
"dalteparin_5_EForm_Additional_Comment_Test","EForm Additional Comment Test","dalteparin","5.0","","OR(1,2)","false"
"dalteparin_700_Associated_with_Pregnancy","Generate a 6 month payload","dalteparin","60.0","","AND(1,OR(2,3,4,5))","false"
"dalteparin_500_Orthopedic_Surgery_for_Major_Trauma","Generate a 35 day payload","dalteparin","40.0","","AND(1,OR(3,AND(2,4)))","false"
"dalteparin_600_Lupus_Ac_Antiphospholipid_syndrome_Thrombophilia","Generate a 3 month payload","dalteparin","50.0","","AND(1,OR(3,4,AND(2,5)))","false"
"dalteparin_300_Following_Total_Knee_Replacement","Generate 14 day payload","dalteparin","20.0","","AND(1,OR(3,AND(2,4)))","false"
"dalteparin_13_Generate_10_day_payload_part_2","Generate 10 day payload part 2","dalteparin","13.0","","AND(1,OR(AND(2,3,4),5,6,7))","false"
"dalteparin_200_Failure_on_Oral_Anticoagulant_Therapy","Generate 10 day payload with expanded pickup window","dalteparin","15.0","","AND(1,OR(3,AND(2,4)))","false"
"darifenacin_200_Pharmanet Payload if Approved","Pharmanet Payload if Approved","darifenacin","200.0","Pharmanet Payload if Approved","AND(1)","false"
"deferprox_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","deferprox","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"deferprox_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","deferprox","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"defersirox_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","defersirox","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"defersirox_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","defersirox","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"deflazacort_200_Pharmanet Payload if Approved","Pharmanet Payload if Approved","deflazacort","200.0","Pharmanet Payload if Approved","AND(1)","false"
"DEKAs_Pharmanet Payload if Approved","Pharmanet Payload if Approved","DEKAs_capsules","1.0","Pharmanet Payload if Approved","AND(1)","false"
"denobiosim60_10_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","denobiosim60","10.0","","AND(1)","false"
"denobiosim60_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","denobiosim60","200.0","","AND(1,OR(AND(2,3),AND(4,5)))","false"
"denobiosim60_250_5_year_payload","5  year payload","denobiosim60","250.0","","AND(1,OR(2,3))","false"
"denobiosim60_300_Other_None","Other/None - 6 Month Payload","denobiosim60","300.0","","AND(1,OR(2,3,4))","false"
"denosacla_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","denosacla","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"denosacla_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","denosacla","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"denosprol_250_5_year_payload","5 year payload","denosprol","250.0","5 year payload for aromatase inhibitor","AND(1,OR(2,3))","false"
"denosprol_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","denosprol","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
