"Drug__r.Drug_Code__c","Diagnosis__c","Hierarchy__c"
"dalteparin","B. - Orthopedic surgery for major trauma (up to 10 days)","Secondary"
"dalteparin","Other",""
"dalteparin","B. - Following total hip replacement surgery (35 days)","Secondary"
"dalteparin","B. - Post-surgery (abdominal or pelvic surgery) for management of malignant tumor, High Risk, Previous history of VTE (28 days)","Secondary"
"dalteparin","A. - Treatment of venous thromboembolism","Primary"
"dalteparin","B. - Prophylaxis of venous thromboembolism","Primary"
"dalteparin","C. - Treatment of venous thromboembolism associated with cancer","Primary"
"dalteparin","Continued treatment from acute care for bridging INR (up to 10 days)","Secondary"
"deferprox","Acquired disease","Primary"
"deferprox","Other",""
"deferprox","Congenital disease","Primary"
"defersirox","Congenital disease","Primary"
"defersirox","Acquired disease","Primary"
"defersirox","Other",""
"DEKAs_capsules","Other","Primary"
"DEKAs_capsules","Chronic pediatric cholestasis","Primary"
"denobiosim60","osteoporosis WITH fracture due to osteoporosis AND a contraindication to oral bisphosphonates - immune-mediated hypersensitivity reaction to oral bisphosphonates","Primary"
"denobiosim60","Other",""
"denobiosim60","osteoporosis WITH fracture due to osteoporosis AND a contraindication to oral bisphosphonates - Other","Primary"
"denobiosim60","osteoporosis WITH fracture due to osteoporosis AND a contraindication to oral bisphosphonates - abnormalities of the esophagus which delay esophageal emptying such as stricture or achalasia","Primary"
"denobiosim60","patients with breast cancer who are on aromatase inhibitor therapy","Primary"
"denosacla","osteoporosis WITH fracture due to osteoporosis AND a contraindication to oral bisphosphonates - abnormalities of the esophagus which delay esophageal emptying such as stricture or achalasia","Primary"
"denosacla","osteoporosis WITH fracture due to osteoporosis AND a contraindication to oral bisphosphonates - immune-mediated hypersensitivity reaction to oral bisphosphonates","Primary"
"denosacla","osteoporosis WITH fracture due to osteoporosis AND a contraindication to oral bisphosphonates - other","Primary"
"denosacla","Other",""
"denosprol","osteoporosis WITH fracture due to osteoporosis AND a contraindication to oral bisphosphonates - immune-mediated hypersensitivity reaction to oral bisphosphonates","Primary"
"denosprol","Other",""
"denosprol","osteoporosis WITH fracture due to osteoporosis AND a contraindication to oral bisphosphonates - other","Primary"
"denosprol","osteoporosis WITH fracture due to osteoporosis AND a contraindication to oral bisphosphonates - abnormalities of the esophagus which delay esophageal emptying such as stricture or achalasia","Primary"
"denosprol","patients with breast cancer who are on aromatase inhibitor therapy","Primary"
"desmopressin","Other",""
"desmopressin","Treatment of diabetes insipidus","Primary"
"DexcomCGM","All criteria has been met (all boxes checked) - Renewal coverage (5 years)","Primary"
"DexcomCGM","Other","Primary"
"DexcomCGM","Some criteria not met (missing check boxes) - Initial or Renewal","Primary"
"DexcomCGM","Child on NSS","Secondary"
"DexcomCGM","All criteria has been met (all boxes checked) - Initial coverage (1 year)","Primary"
"diazoxide","SAP hyperinsulinemia","Primary"
"diclo","Rheumatoid Arthritis","Primary"
"diclo","Ankylosing Spondylitis","Primary"
"diclo","Gout","Primary"
"diclo","Lupus","Primary"
"diclo","Other",""
"diclo","Psoriatic Arthritis","Primary"
"diclomiso","Other",""
"diclomiso","Lupus","Primary"
"diclomiso","Gout","Primary"
"diclomiso","Ankylosing Spondylitis","Primary"
"diclomiso","Psoriatic Arthritis","Primary"
"diclomiso","Rheumatoid Arthritis","Primary"
"dienogest","For the management of pelvic pain associated with endometriosis in patients who have failed or who are unable to use combined hormonal contraceptives (CHC's).  (eg. Alesse, Aviane, Min-Ovral, Portia, Marvelon, Apri, Ortho-Cept, etc.)","Primary"
"dienogest","Other",""
"dimethylfumarate","As monotherapy for the treatment of relapsing-remitting multiple sclerosis - renewal","Primary"
"dimethylfumarate","As monotherapy for the treatment of relapsing-remitting multiple sclerosis - switch","Primary"
"dimethylfumarate","As monotherapy for the treatment of relapsing-remitting multiple sclerosis - initial","Primary"
"DOACriva","Pulmonary embolism (PE)","Primary"
"DOACriva","AFib meets criteria AUTO ADJUDICATE","Secondary"
"DOACriva","Other",""
"DOACriva","Non-valvular atrial fibrillation","Primary"
"DOACriva","Deep vein thrombosis (DVT)","Primary"
"DOACriva","AFib DOES NOT MEET criteria -- no AA","Secondary"
"dorzolamide","Diagnosis of ocular hypertension and open-angle glaucoma in patients with a demonstrated allergy to preservative","Primary"
"dorzolamide","Other",""
"DPP4lina","Other","Primary"
"DPP4lina","Type 2 diabetes - Dual therapy of metformin and an insulin","Primary"
"DPP4lina","Type 2 diabetes - Dual therapy of metformin and a sulfonylurea","Primary"
"DPP4lina","Type 2 diabetes - trial of one agent","Primary"
"DPP4saxa","Type 2 diabetes - Dual therapy of metformin and an insulin","Primary"
"DPP4saxa","Type 2 diabetes - trial of one agent","Primary"
"DPP4saxa","Type 2 diabetes - Dual therapy of metformin and a sulfonylurea","Primary"
"DPP4saxa","Other",""
"dronedarone","For long-term rhythm control of atrial fibrillation (AF) who successfully achieved rhythm control on amiodarone, but who have developed intolerable adverse effects to amiodarone (NOT including liver adverse effects)","Primary"
"dronedarone","Other",""
"duloxetine","For the treatment of neuropathic pain","Primary"
"duloxetine","Other",""
"duloxetine","Exceptional coverage - depression and/or anxiety with or without neuropathic pain","Primary"
"duodopa","Patient experiences severe disability despite having tried frequent dosing of levodopa","Primary"
"duodopa","For the management of severe cases of advanced idiopathic Parkinson's Disease","Primary"
"dupilumab","Severe eosinophilic asthma - 6-11 years old","Primary"
"dupilumab","Severe eosinophilic asthma - 12 years old and older","Primary"
"dupilumab","Other","Primary"
"dupilumab","Atopic dermatitis (not approvable)","Primary"
"dupilumab","Eosinophilic esophagitis (not approvable)","Primary"
"edaravone","Initial Request - Diagnosis of probable amyotrophic lateral sclerosis (ALS) or definite ALS","Primary"
"edaravone","Renewal Request","Primary"
"edaravone","Other",""
"enoxaparin","B. - Post-surgery (abdominal or pelvic surgery) for management of malignant tumor, High Risk, Anesthesia longer than 2 hours (28 days)","Secondary"
"enoxaparin","A. - Failure on oral anticoagulant therapy, ie. recurrence (up to 3 months)","Secondary"
"enoxaparin","B. - Post-surgery (abdominal or pelvic surgery) for management of malignant tumor, High Risk, Previous history of VTE (28 days)","Secondary"
"enoxaparin","B. - Concurrent lupus anticoagulant syndrome, antiphospholipid syndrome or thrombophilia (3 months)","Secondary"
"enoxaparin","B. - Associated with pregnancy (up to 4 weeks post partum)","Secondary"
"enoxaparin","C. - Treatment of venous thromboembolism associated with cancer","Primary"
"enoxaparin","B. - Prophylaxis of venous thromboembolism","Primary"
"enoxaparin","A. - Treatment of venous thromboembolism","Primary"
"enoxaparin","B. - Orthopedic surgery for major trauma (up to 10 days)","Secondary"
"enoxaparin","B. - Following total hip replacement surgery (35 days)","Secondary"
"enoxaparin","Other",""
"enoxaparin","B. - Post-surgery (abdominal or pelvic surgery) for management of malignant tumor, High Risk, Bedrest 4 days or longer (28 days)","Secondary"
"enoxaparin","B. - Post-surgery (abdominal or pelvic surgery) for management of a malignant tumor (up to 10 days)","Secondary"
"enoxaparin","B. - Following total knee replacement surgery (14 days)","Secondary"
"enoxaparin","Continued treatment from acute care for bridging INR (up to 10 days)","Secondary"
"entacapone","Other",""
"entacapone","Parkinson's Disease - As adjunct therapy for patients with an inadequate response after alterations of levodopa/carbidopa doses.","Primary"
"entacapone","Other",""
"entecavir","Chronic Hepatitis B","Primary"
"entecavir","Prophylaxis on Immunotherapy","Primary"
"entecavir","Other",""
"Entresto","Other",""
"Entresto","Patient has heart failure with New York Heart Association (NYHA) Class II to III symptoms - despite at least four weeks of treatment at the optimum stable dose of a beta-blocker and other recommended therapies","Primary"
"epclusa","*do not use* 12 weeks: Treatment-naive or treatment-experienced┬╣ with decompensated cirrhosis. With RBV","Primary"
"epclusa","Mixed Genotype","Secondary"
"epclusa","liver transplant recipient","Primary"
"epclusa","lung transplant recipient","Primary"
"epclusa","Unknown/unable to genotype","Secondary"
"epclusa","12 weeks: Treatment-naive or treatment-experienced┬╣ with no cirrhosis or with compensated cirrhosis","Primary"
"epclusa","24 weeks: Treatment-naive or treatment-experienced┬╣ with decompensated cirrhosis (RBV unavailable)","Primary"
"epclusa","Genotype 1","Secondary"
"epclusa","Genotype 3","Secondary"
"epclusa","Genotype 5","Secondary"
"epclusa","Genotype 2","Secondary"
"epclusa","Genotype 6","Secondary"
"epclusa","Genotype 4","Secondary"
"eplerenone","Exceptional last resort coverage for hypertension","Primary"
"eplerenone","Congestive Heart Failure (CHF), preserved LVEF, EF </= 40%","Primary"
"eplerenone","Primary Hyperaldosteronism","Primary"
"epoprostenol","Other",""
"epoprostenol","As monotherapy, for the treatment of WHO/NYHA functional class IV PAH and inadequate response to non-prostanoid therapies","Primary"
"epoprostenol","As monotherapy, for the treatment of WHO/NYHA functional class IV PAH and contraindication to the non-prostanoid therapies","Primary"
"eslicarbazepine","Adjunctive therapy for partial-onset seizures in adults after other medications have been tried without success","Primary"
"eslicarbazepine","Other",""
"estraderm","For indications of menopausal and post-menopausal symptoms - Extreme intolerance to oral preparations","Primary"
"estraderm","For indications of menopausal and post-menopausal symptoms - Diagnosis of severe liver disease","Primary"
"estraderm","For indications of menopausal and post-menopausal symptoms - other","Primary"
"estraderm","Other",""
"etanbiosim","Renewal 3 years","Secondary"
"etanbiosim","Other",""
"etanbiosim","Psoriatic Arthritis","Primary"
"etanbiosim","Plaque Psoriasis","Primary"
"etanbiosim","Indefinite Renewal","Secondary"
"etanbiosim","Rheumatoid Arthritis","Primary"
"etanbiosim","Ankylosing Spondylitis","Primary"
"etanbiosim","Renewal 1 year","Secondary"
"etanbiosim","Initial","Secondary"
"evo","Initial Request - Diagnosis of ""definite"" or ""probable"" Heterozygous Familial Hypercholesterolemia (HeFH) - Genetic testing","Primary"
"evo","Other","Primary"
"evo","Renewal Request - LDL-C is reduced by at least 40% from the LDL prior to treatment with evolocumab","Primary"
"evo","Initial Request - Diagnosis of ""definite"" or ""probable"" Heterozygous Familial Hypercholesterolemia (HeFH) - Dutch Lipid Network criteria","Primary"
"evo","Initial Request - Diagnosis of ""definite"" or ""probable"" Heterozygous Familial Hypercholesterolemia (HeFH) - Simon Broome criteria","Primary"
"ezetimibe","Patient has a diagnosis of hypercholesterolemia, AND had intolerance to at least 2 specified statins.","Primary"
"ezetimibe","Patient has a diagnosis of hypercholesterolemia, AND LDL-C or cholesterol remained high despite treatment with maximally tolerated statin(s).","Primary"
"ezetimibe","Other",""
"febuxostat","Other",""
"febuxostat","For the reduction of serum uric acid levels in patients with gout who demonstrate an immune-mediated hypersensitivity reaction to allopurinol","Primary"
"fent patch","Person who uses non-prescribed opioids, is at risk of harm from the toxic street drug supply, and is not fentanyl-naive","Primary"
"fent patch","Diagnosis of cancer","Primary"
"fent patch","For pain management in a specified chronic pain diagnosis, PLUS unresponsive or intolerant to 2 specified opioids","Primary"
"fent patch","Renewal (for cancer or chronic pain)","Primary"
"fent patch","Exceptional coverage: management of opioid use disorder (OUD)","Primary"
"fent patch","Other","Primary"
"fent tabs","Other","Primary"
"fent tabs","Person who uses non-prescribed opioids, is at risk of harm from
the toxic street drug supply, and is not fentanyl-naive","Primary"
"fent tabs","Renewal (requires review)","Primary"
"fidaxomicin","treatment of C. Difficile - documented allergy","Primary"
"fidaxomicin","treatment of C. Difficile - failure of oral vancomycin AND when retreatment with vancomycin is not an option AND when the patient is at high risk of hospitalization","Primary"
"fidaxomicin","treatment of C. Difficile - severe intolerance to oral vancomycin","Primary"
"fidaxomicin","Other",""
"filgrastim","For rescue of prolonged febrile neutropenia following chemotherapy","Primary"
"filgrastim","Post-BMT to stimulate bone marrow engraftment","Primary"
"filgrastim","For SECONDARY prophylaxis of febrile neutropenia in cancer patients receiving potentially CURATIVE myelosuppressive chemotherapy","Primary"
"filgrastim","For PRIMARY prophylaxis of febrile neutropenia in cancer patients receiving potentially CURATIVE myelosuppressive chemotherapy regimens","Primary"
"filgrastim","Cancer patients undergoing peripheral blood progenitor cell (PBPC) collection and therapy","Primary"
"filgrastim","Post-BMT for rescue of failure to engraft","Primary"
"filgrastim","Other",""
"filgrastim","Myelodysplastic disorders or aplastic anemia awaiting bone marrow transplantation","Primary"
"filgrastim","Chronic benign cyclical neutropenia","Primary"
"finerenone","Patient has both type 2 diabetes (T2D) and chronic kidney disease (CKD) with an estimated glomerular filtration rate (eGFR) of at least 25ml/min/1.73m².","Primary"
"finerenone","Other",""
"fingolimod","other",""
"fingolimod","As second-line monotherapy for the treatment of relapsing-remitting multiple sclerosis","Primary"
"fluconsolids","Exceptions on an individual basis for fungal infections resistant to first-line medications.","Primary"
"fluconsolids","Other",""
"fluconsolids","Immunocompromised patient","Primary"
"FreeStyleLibre","All criteria have been met (all boxes checked) - Initial coverage (1 year)","Primary"
"FreeStyleLibre","Child on NSS","Secondary"
"FreeStyleLibre","Other","Primary"
"FreeStyleLibre","Some criteria not met (missing check boxes) - Initial or Renewal","Primary"
"FreeStyleLibre","All criteria have been met (all boxes checked) - Renewal coverage (5 years)","Primary"
"gabapentin","Other",""
"gabapentin","Diagnosis of Bipolar Disorder","Primary"
"glatiramer","Other","Primary"
"glatiramer","As monotherapy for the treatment of relapsing-remitting multiple sclerosis - renewal","Primary"
"glatiramer","As monotherapy for the treatment of relapsing-remitting multiple sclerosis - initial","Primary"
"glatiramer","As monotherapy for the treatment of relapsing-remitting multiple sclerosis - switch","Primary"
"gliclazide","Treatment failure or intolerance to at least one other sulfonylurea drug (e.g., glyburide, tolbutamide) at adequate doses.","Primary"
"gliclazide","(Internal) Diagnosis of diabetes or indication patient has diabetes (e.g. noted to be on or failed other diabetes drugs insulin etc.).","Primary"
"gliclazide","Other","Primary"
"glucagon","Child is under the age of four","Primary"
"glucagon","For the treatment of hypoglycemia in patients in whom the nasal spray dosage form is not appropriate","Primary"
"golim","renewal","Secondary"
"golim","Other",""
"golim","initial","Secondary"
"golim","Rheumatoid Arthritis","Primary"
"golim","Ankylosing Spondylitis","Primary"
"golim","Psoriatic Arthritis","Primary"
"goserelin","Other",""
"goserelin","Patient has a diagnosis of endometriosis","Primary"
"H2Bcime","Other",""
"H2Bcime","Treatment failure on prescription dose of, or intolerance to, ranitidine","Primary"
"H2Bfamo","Other",""
"H2Bfamo","Treatment failure on prescription dose of, or intolerance to, ranitidine","Primary"
"H2Bniza","Treatment failure on prescription dose of, or intolerance to, ranitidine","Primary"
"H2Bniza","Other",""
"harvoni","Genotype 1","Secondary"
"harvoni","*do not use* 12 weeks: Liver transplant recipients, treatment-naive or treatment-experienced┬▓ with no cirrhosis or with compensated cirrhosis┬╣ (with RBV)","Primary"
"harvoni","8 weeks: Treatment-naive, mono-HCV infected, fibrosis stage < F3 and HCV RNA < 6 million IU/mL (only considered for non-cirrhotic patients)","Primary"
"harvoni","*do not use* 12 weeks: Treatment-naive or treatment-experienced┬▓ with decompensated cirrhosis┬│ (with RBV)","Primary"
"harvoni","24 weeks: Treatment-experienced┬▓ with compensated cirrhosis┬╣","Primary"
"harvoni","12 weeks: Treatment-experienced┬▓ with no cirrhosis","Primary"
"harvoni","24 weeks: Treatment-naive or treatment-experienced┬▓ with decompensated cirrhosis┬│ (RBV unavailable)","Primary"
"harvoni","12 weeks: Liver transplant recipients, treatment-naive or treatment-experienced┬▓ with no cirrhosis or with compensated cirrhosis┬╣ (RBV unavailable)","Primary"
"harvoni","12 weeks: HIV/HCV-1 co-infected, treatment-naive or treatment-experienced┬▓ with no cirrhosis or with compensated cirrhosis┬╣","Primary"
"harvoni","12 weeks: Treatment-naive with no cirrhosis (including advanced fibrosis stage ΓëÑ 3) or with compensated cirrhosis┬╣","Primary"
"humalog","Allergy or intolerance to biosimilar","Primary"
"humalog","Failure, or otherwise less efficacy, using biosimilar","Primary"
"humalog","Other","Primary"
"humalogMIX","Failure, or otherwise less efficacy, using biosimilar","Primary"
"humalogMIX","Allergy or intolerance to biosimilar","Primary"
"humalogMIX","Other","Primary"
"Humira","Polyarticular Juvenile Idiopathic Arthritis","Primary"
"Humira","Psoriatic Arthritis","Primary"
"Humira","Ankylosing Spondylitis","Primary"
"Humira","Other",""
"Humira","Ulcerative Colitis","Primary"
"Humira","Fistulizing Crohn's","Primary"
"Humira","Moderate to Severe Active Crohn's","Primary"
"Humira","Rheumatoid Arthritis","Primary"
"Humira","Hidradenitis Suppurativa","Primary"
"Humira","Plaque Psoriasis","Primary"
"hydromorph50inj","Exceptional coverage: management of opioid use disorder (OUD)","Primary"
"hydromorph50inj","Renewal","Primary"
"hydromorph50inj","Relief of severe pain in patients who require subcutaneously, intravenously or intramuscularly administered opioids in doses or concentrations higher than those usually needed","Primary"
"hydromorph50inj","Other",""
"hydromorphSR","Pain management in a specified chronic pain (including cancer pain) diagnosis AND sustained release preparations of morphine","Primary"
"hydromorphSR","Pain management in a specified chronic pain (including cancer pain) diagnosis AND regular release dosage forms of hydromorphone","Primary"
"hydromorphSR","Exceptional coverage: management of opioid use disorder (OUD)","Primary"
"hydromorphSR","Other","Primary"
"hydromorphSR","Renewal","Primary"
"hydroxyurea","Patient has a diagnosis of pustular psoriasis┬á","Primary"
"hydroxyurea","Other",""
"hydroxyzine","Other",""
"hydroxyzine","For the treatment of anxiety","Primary"
"icat","Initial Request - For the treatment of acute attacks of hereditary angioedema (HAE)┬á- other","Primary"
"icat","Initial Request - For the treatment of acute attacks of hereditary angioedema (HAE)┬á- type II","Primary"
"icat","Initial Request - For the treatment of acute attacks of hereditary angioedema (HAE)┬á- type I","Primary"
"icat","Renewal Request - Patient is limited to a single dose for self-administration per attack","Primary"
"icosapent","other",""
"icosapent","Secondary prevention of established cardiovascular disease","Primary"
"incobot","Other",""
"incobot","For the treatment of post-stroke spasticity of the upper limb","Primary"
"incobot","For the treatment of blepharospasm","Primary"
"incobot","For the treatment of cervical dystonia of a predominantly rotational form (Spasmodic Torticollis)","Primary"
"indapamide","Treatment failure or intolerance to a thiazide diuretic","Primary"
"indapamide","Other",""
"inflix","renewal indefinite","Secondary"
"inflix","Ankylosing Spondylitis","Primary"
"inflix","Psoriatic Arthritis","Primary"
"inflix","initial","Secondary"
"inflix","renewal 1 year","Secondary"
"inflix","renewal 3 years","Secondary"
"inflix","Other",""
"inflix","Hidradenitis Suppurativa","Primary"
"inflix","Plaque Psoriasis","Primary"
"inflix","Moderate to Severe Active Crohn's","Primary"
"inflix","Fistulizing Crohns","Primary"
"inflix","Ulcerative Colitis","Primary"
"inflix","Rheumatoid Arthritis","Primary"
"INRtestingdevice","other","Primary"
"INRtestingdevice","Renewal request (6 months, strips only)","Primary"
"INRtestingdevice","Initial request (6 months, device + strips)","Primary"
"interferonA","Chronic Hepatitis B, non-cirrhosis","Primary"
"interferonA","Other",""
"interferonB1B","As monotherapy for the treatment of relapsing-remitting multiple sclerosis - initial","Primary"
"interferonB1B","As monotherapy for secondary progressive multiple sclerosis (SPMS) - initial","Primary"
"interferonB1B","As monotherapy for secondary progressive multiple sclerosis (SPMS) - switch","Primary"
"interferonB1B","As monotherapy for secondary progressive multiple sclerosis (SPMS) - renewal","Primary"
"interferonB1B","As monotherapy for the treatment of relapsing-remitting multiple sclerosis - renewal","Primary"
"interferonB1B","As monotherapy for the treatment of relapsing-remitting multiple sclerosis - switch","Primary"
"ironisomaltoside","Patient is intolerant to at least TWO specified oral iron therapies","Secondary"
"ironisomaltoside","Patient has a contraindication to oral iron therapy (clinical malabsorption, severe and/or chronic blood loss)","Secondary"
"ironisomaltoside","Other",""
"ironisomaltoside","Patient has failed to respond to an adequate trial (minimum of 4 weeks) of at least one oral iron therapy","Secondary"
"ironisomaltoside","Diagnosis of Iron Deficiency Anemia (IDA) AND iron isomatoside will be administered where appropriate monitoring and management of hypersensitivity reactions can be provided","Primary"
"ironsucrose","Patient has failed to respond to an adequate trial (minimum of 4 weeks) of at least one oral iron therapy","Secondary"
"ironsucrose","Patient has a contraindication to oral iron therapy (clinical malabsorption, severe and/or chronic blood loss)","Secondary"
"ironsucrose","Diagnosis of Iron Deficiency Anemia (IDA) AND iron sucrose will be administered where appropriate monitoring and management of hypersensitivity reactions can be provided","Primary"
"ironsucrose","Patient is intolerant to at least TWO specified oral iron therapies","Secondary"
"ironsucrose","Other",""
"isavuconazole","Other",""
"isavuconazole","For the treatment of Invasive Mucormycosis (IM) in adults when prescribed by infectious disease specialist and if a patient is established on isavuconazole in hospital","Primary"
"ismn","Experienced treatment failure on optimal dose of isosorbide dinitrate (ISDN)","Primary"
"ismn","Other",""
"ismn","Diagnosis of unstable angina","Primary"
"ismn","Experienced intolerance to isosorbide dinitrate (ISDN)","Primary"
"itraconazole","Pulse treatment for severe onychomycosis with functional disability","Primary"
"itraconazole","Other","Primary"
"itraconazole","Immunocompromised patient","Primary"
"ivabradine","Patient has stable heart failure with New York Heart Association Class II or III symptoms","Primary"
"ivabradine","NYHA class II or III symptoms that have persisted despite at least four weeks of treatment at the optimum stable dose of a B-blocker, an aldosterone antagonist AND an ACEI or an ARB","Primary"
"ivabradine","Other",""
"ixekiz","initial","Secondary"
"ixekiz","renewal","Secondary"
"ixekiz","Psoriatic Arthritis (PsA)","Primary"
"ixekiz","Other",""
"ixekiz","Plaque Psoriasis (PP)","Primary"
"ketamine10","Other",""
"ketamine50","Other",""
"LABAflutsalm","Other",""
"LABAflutsalm","Diagnosis of asthma┬áAND inadequate response on optimal dose of inhaled corticosteroid.","Primary"
"LABAflutvila","Diagnosis of asthma┬áAND inadequate response on optimal dose of inhaled corticosteroid.","Primary"
"LABAflutvila","Other",""
"LABAform","Diagnosis of asthma┬áAND inadequate response on optimal dose of inhaled corticosteroid.","Primary"
"LABAform","Other",""
"LABAformbude","Diagnosis of asthma┬áAND inadequate response on optimal dose of inhaled corticosteroid.","Primary"
"LABAformbude","Other",""
"LABAformmom","Other",""
"LABAformmom","Diagnosis of asthma┬áAND inadequate response on optimal dose of inhaled corticosteroid.","Primary"
"LABAindamome","Diagnosis of asthma AND inadequate response on optimal dose of inhaled corticosteroid.","Primary"
"LABAindamome","Other",""
"LABAindamomeglyco","Other",""
"LABAindamomeglyco","Diagnosis of asthma AND inadequate response on optimal dose of inhaled corticosteroid AND experienced one or more exacerbations in the past 12 months","Primary"
"LABAsalm","Diagnosis of asthma AND inadequate response on optimal dose of inhaled corticosteroid","Primary"
"LABAsalm","Other",""
"lacolaco","Status epilepticus (exceptional)","Primary"
"lacolaco","Other","Primary"
"lacolaco","Generalized seizures (exceptional)","Primary"
"lacolaco","Partial onset seizures","Primary"
"lactulose","Treatment of liver failure","Primary"
"lactulose","Treatment of portal systemic encephalopathy","Primary"
"lactulose","Other",""
"LAinsulinbasa","Patient is currently taking NPH insulin (and/or pre-mix insulin) and has experienced or continues to experience severe, systemic or local allergic reaction to existing insulin treatment","Primary"
"LAinsulinbasa","Patient is currently taking NPH insulin (and/or pre-mix insulin) and has experienced unexplained nocturnal hypoglycemia at least once a month despite optimal management","Primary"
"LAinsulinbasa","Other",""
"LAinsulinbasa","Patient has a contraindication to NPH insulin","Primary"
"Lainsulindete","Patient is currently taking NPH insulin (and/or pre-mix insulin) and has experienced or continues to experience severe, systemic or local allergic reaction to existing insulin treatment","Primary"
"Lainsulindete","Patient is currently taking NPH insulin (and/or pre-mix insulin) and has experienced unexplained nocturnal hypoglycemia at least once a month despite optimal management","Primary"
"Lainsulindete","Other",""
"Lainsulindete","Patient has a contraindication to NPH insulin","Primary"
"lamivudine","Other - Hepatitis B reactivation prophylaxis while on immunosuppressants","Primary"
"lamivudine","Other",""
"lamivudine","Chronic Hepatitis B","Primary"
"LBMdiph","Other",""
"LBMdiph","For the treatment of diarrhea due to a specified chronic illness","Primary"
"letermovir","Patient at high risk of CMV infection AND has an undetectable CMV DNA at baseline","Primary"
"letermovir","Other","Primary"
"leuprolide","Diagnosis of endometriosis","Primary"
"leuprolide","Diagnosis indicating need to reduce sexual drive","Primary"
"leuprolide","Other",""
"leuprolide","Diagnosis of precocious puberty","Primary"
"levetiracetam solution","Diagnosis of epilepsy/seizures, unable to swallow tablets, AND currently on levetiracetam and is benefitting (e.g. put on in hospital, started by a neurologist, etc)","Primary"
"levetiracetam solution","Diagnosis of epilepsy/seizures, unable to swallow tablets, AND treatment failure on at least ONE anti-seizure medication","Primary"
"levetiracetam solution","Renewal of coverage for levetiracetam liquid, confirming patient is still unable to swallow tablets.","Primary"
"levetiracetam solution","Other",""
"levetiracetam tablet","Other",""
"levetiracetam tablet","Diagnosis of epilepsy AND currently on levetiracetam and is benefitting (e.g. put on in hospital, started by a neurologist, etc)","Primary"
"levetiracetam tablet","Diagnosis of epilepsy","Primary"
"linezolid","Other",""
"linezolid","Treatment of methicillin-resistant staphylococcus aureus (MRSA) in patients who are unresponsvie to or intolerant of injectable vancomycin","Primary"
"linezolid","Treatment of vancomycin resistant enterococcus (VRE) infections","Primary"
"loperamide","For the treatment of diarrhea due to a specified chronic illness","Primary"
"loperamide","Other",""
"lovenox","other","Primary"
"lovenox","exceptional brand request","Primary"
"lurasidone","other psychosis","Primary"
"lurasidone","schizophrenia","Primary"
"lurasidone","bipolar disorder","Primary"
"lurasidone","Other","Primary"
"luspatercept","Initial Request","Primary"
"luspatercept","Other",""
"luspatercept","Renewal Request","Primary"
"Maintenapalisust","For management of manifestations of related psychotic disorders (not dementia-related) - are currently receiving a conventional depot antispychotic PLUS experiencing significant side effects such as extrapyramidal symptoms or tardive dyskinesia","Primary"
"Maintenapalisust","For management of manifestations of related psychotic disorders (not dementia-related) - with a history of non-adherence to antipsychotic medications resulting in important negative outcomes such as repeated hospitalizations","Primary"
"Maintenapalisust","Other",""
"Maintenapalisust","For management of manifestations of related psychotic disorders (not dementia-related) - have tried oral aripiprazole, risperidone, or paliperidone PLUS at least one other antipsychotic agent AND continues to be inadequately controlled","Primary"
"Maintenapalisust","For management of manifestations of schizophrenia","Primary"
"Maintenapalitrin","For management of manifestations of related psychotic disorders (not dementia-related) - are currently receiving a conventional depot antispychotic PLUS experiencing significant side effects such as extrapyramidal symptoms or tardive dyskinesia","Primary"
"Maintenapalitrin","For management of manifestations of related psychotic disorders (not dementia-related) - have tried oral aripiprazole, risperidone, or paliperidone PLUS at least one other antipsychotic agent AND continues to be inadequately controlled","Primary"
"Maintenapalitrin","Other",""
"Maintenapalitrin","For management of manifestations of schizophrenia","Primary"
"Maintenapalitrin","For management of manifestations of related psychotic disorders (not dementia-related) - with a history of non-adherence to antipsychotic medications resulting in important negative outcomes such as repeated hospitalizations","Primary"
"Maintenarisp","For management of manifestations of related psychotic disorders (not dementia-related) - are currently receiving a conventional depot antispychotic PLUS experiencing significant side effects such as extrapyramidal symptoms or tardive dyskinesia","Primary"
"Maintenarisp","For management of manifestations of related psychotic disorders (not dementia-related) - history of non-adherence to antipsychotic medications resulting in important negative outcomes such as repeated hospitalizations","Primary"
"Maintenarisp","Other",""
"Maintenarisp","For management of manifestations of related psychotic disorders (not dementia-related) - have tried oral aripiprazole, risperidone, or paliperidone PLUS at least one other antipsychotic agent AND continues to be inadequately controlled","Primary"
"Maintenarisp","For management of manifestations of schizophrenia","Primary"
"maribavir","Treatment of CMV - Renewal","Primary"
"maribavir","Treatment of CMV - Initial","Primary"
"maribavir","Treatment of CMV - Recurrence","Primary"
"mavacamten","Other",""
"mavacamten","Renewal Request","Primary"
"mavacamten","Initial Request","Primary"
"maviretadult","Genotype 1 - Treatment-naive with no cirrhosis or with compensated cirrhosis","Primary"
"maviretadult","heart transplant recipient","Primary"
"maviretadult","Genotype 3 - Treatment-experienced with no cirrhosis or with compensated cirrhosis","Primary"
"maviretadult","Genotype 1 - Treatment-experienced with no cirrhosis","Primary"
"maviretadult","Genotype 3 - Treatment-naive with no cirrhosis or with compensated cirrhosis","Primary"
"maviretadult","Genotype 1 - Treatment-experienced with compensated cirrhosis","Primary"
"maviretadult","Genotype 1 - Previously treated with an NS5A inhibitor-containing regimen, but NS3/4A protease inhibitor treatment-naive","Primary"
